"source","size_bytes","modified","sha256","profile","target","audit_status","state","run_id"
"raw/assets/.gitkeep","0","2026-06-01T17:36:52","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","2026-07-16.1","","","unsupported","20260716-184548-695-af09e998"
"raw/assets/00_README_START_HERE.md","1595","2026-06-05T00:04:43","59b1f2758a00f1be39a3477c01d5f1e5bb8e6718d9eed0fb8d4809e86a7c6950","2026-07-16.1","","","native","20260716-184548-695-af09e998"
"raw/assets/01_Marketing_Strategie/ABM/HP_timeless Sales and Marketing framework_SS_Tminus_Apollo_summary.pdf","3034172","2024-10-09T11:46:04","cd49b1d9d3196c83359f6f5bd637c5865e30b9e8c42b0eae8250fcff49142ed9","2026-07-16.1","wiki/_extractions/raw/assets/01_Marketing_Strategie/ABM/hp_timeless-sales-and-marketing-framework_ss_tminus_apollo_summary.pdf.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/01_Marketing_Strategie/Campaign_Planning_und_Orchestration/Heinz Marketing/20250724_CMO guide to marketing orchestration.pdf","12779819","2025-07-25T19:31:02","89173798756a6c86f53ac152d2a4589d7f26c27851390b125f65c1cc77485d2c","2026-07-16.1","wiki/_extractions/raw/assets/01_Marketing_Strategie/Campaign_Planning_und_Orchestration/Heinz Marketing/20250724_cmo-guide-to-marketing-orchestration.pdf.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/01_Marketing_Strategie/Campaign_Types_und_Flows/202403_Campaign Flows Guidelines.pptx","7116644","2024-05-23T10:22:53","2ce3ca652384927a63c5136667c05390cb914d1a4e62eabdb13f8f6f74ec3395","2026-07-16.1","wiki/_extractions/raw/assets/01_Marketing_Strategie/Campaign_Types_und_Flows/202403_campaign-flows-guidelines.pptx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/01_Marketing_Strategie/Campaign_Types_und_Flows/2025_campaign types_brand_DemandGen_LeadGEN_Conversion.docx","17814","2025-01-18T23:18:23","00052aea033f8df7895f576d2b21f5ca9024359915ea85505dc7ae3f9a31d1c1","2026-07-16.1","wiki/_extractions/raw/assets/01_Marketing_Strategie/Campaign_Types_und_Flows/2025_campaign-types_brand_demandgen_leadgen_conversion.docx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/01_Marketing_Strategie/Campaign_Types_und_Flows/2025_campaign types_brnd_DemandDen_LeadGen_Conversion.pptx","810573","2025-01-20T16:04:59","8980fb54270a31dd6c6e33272bb0546ed619e8109eb2f8efebe1a6459fb75702","2026-07-16.1","wiki/_extractions/raw/assets/01_Marketing_Strategie/Campaign_Types_und_Flows/2025_campaign-types_brnd_demandden_leadgen_conversion.pptx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/01_Marketing_Strategie/Marketing_Plan_Templates/20231229_DB Schenker Marketing Plan template2.docx","24625","2024-01-01T18:58:11","fcf60d5374775deb2a097742d8ce60e65460bc0c475de490b5fd1fbc4e30e243","2026-07-16.1","wiki/_extractions/raw/assets/01_Marketing_Strategie/Marketing_Plan_Templates/20231229_db-schenker-marketing-plan-template2.docx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/01_Marketing_Strategie/Marketing_Strategy_Blueprint/County Marketing Planning Process_Playbook_Presentation 02.01.18111.._.pdf","1604125","2025-04-28T13:24:59","3e33ad79149e7f52132ba5a4ba0226dacbad813cab3ceed643ae042e7c07eaca","2026-07-16.1","wiki/_extractions/raw/assets/01_Marketing_Strategie/Marketing_Strategy_Blueprint/county-marketing-planning-process_playbook_presentation-02.01.18111.pdf.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/01_Marketing_Strategie/Marketing_Strategy_Blueprint/County Marketing Planning Process_Playbook_Presentation 02.01.18111.._.pptx","3621892","2024-04-10T23:54:36","885a4118fcf55f6dc2a02345545d4607356a79de23f744c6f634205cc8aab98c","2026-07-16.1","wiki/_extractions/raw/assets/01_Marketing_Strategie/Marketing_Strategy_Blueprint/county-marketing-planning-process_playbook_presentation-02.01.18111.pptx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/01_Marketing_Strategie/Marketing_Strategy_Frameworks/20250419_Anatomy of marketing framework.docx","1979416","2025-08-01T22:50:10","64d0aa92453d379a73a5ba7c21bc15f01193c1f809c43170bce7a8b84605fc6b","2026-07-16.1","wiki/_extractions/raw/assets/01_Marketing_Strategie/Marketing_Strategy_Frameworks/20250419_anatomy-of-marketing-framework.docx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/01_Marketing_Strategie/Marketing_Strategy_Frameworks/20250419_Marketing Framework Anatomy Explained_Gemini.docx","5833897","2025-08-01T23:02:57","f8113b0b0693316a775e11406a74226b6e4973fcc5007c3a927bdfdd9a33af81","2026-07-16.1","wiki/_extractions/raw/assets/01_Marketing_Strategie/Marketing_Strategy_Frameworks/20250419_marketing-framework-anatomy-explained_gemini.docx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/01_Marketing_Strategie/OGSM/20240408_OGSM_explained.pptx","9167755","2024-05-01T21:09:11","7b282ce7c5796b2fb10fa14e2eb6addef9df63766dc88efb758210061ed49e87","2026-07-16.1","wiki/_extractions/raw/assets/01_Marketing_Strategie/OGSM/20240408_ogsm_explained.pptx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/01_Marketing_Strategie/OGSM/20240408_OGSM_explained_HP.pdf","1101643","2025-02-09T18:10:08","86464112c1fa4f4a486f038d2d91d398553d997796ed84b4a7514feaf8201ea7","2026-07-16.1","wiki/_extractions/raw/assets/01_Marketing_Strategie/OGSM/20240408_ogsm_explained_hp.pdf.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/01_Marketing_Strategie/OGSM/Article_explain OGSM/OGSM_aPlaybookForStrategy.pdf","400573","2025-02-09T16:54:43","3cf62ec95ba9e7f431d859cfdb2ef8ea68bf36287e46245337676446d4a624cb","2026-07-16.1","wiki/_extractions/raw/assets/01_Marketing_Strategie/OGSM/Article_explain OGSM/ogsm_aplaybookforstrategy.pdf.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/01_Marketing_Strategie/OGSM/OGSM Template.pptx","3476114","2024-04-08T13:44:06","36d38612284ee2e0a4bec539d511daceb65b7dd8fad543657dadc49e3931ef78","2026-07-16.1","wiki/_extractions/raw/assets/01_Marketing_Strategie/OGSM/ogsm-template.pptx.md","ok","green","regeneration-four-20260810-130505"
"raw/assets/01_Marketing_Strategie/Online_Strategy/Template_Online Strategy_.pptx","2696986","2023-12-26T14:58:48","49e12a1cd0bbe38be1fe7ee5dc91ef90b73d4f60f32c960830095b699410e47f","2026-07-16.1","wiki/_extractions/raw/assets/01_Marketing_Strategie/Online_Strategy/template_online-strategy.pptx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/02_Briefing_Templates/Content_Briefs/DBS_Website_Content_CopywriterBriefing_2022.08.04 (1).pdf","540326","2024-01-05T15:24:08","265396d8ba6d9a2e4415b0984fef431adb82eff75e53394b51a2e410a7c0a2f4","2026-07-16.1","wiki/_extractions/raw/assets/02_Briefing_Templates/Content_Briefs/dbs_website_content_copywriterbriefing_2022.08.04-1.pdf.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/02_Briefing_Templates/Content_Briefs/Superpath_Content Brief Template.docx","572162","2023-12-26T14:45:21","b431d12a2149a408bdf8730405c97630ccaee17e513bbbd1618c6f5d7b6eb3eb","2026-07-16.1","wiki/_extractions/raw/assets/02_Briefing_Templates/Content_Briefs/superpath_content-brief-template.docx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/02_Briefing_Templates/Creative_Briefs/DBS_Creative Brief_template.docx","33098","2025-02-09T16:39:53","546208054f0264369d338344780b5ba71da4eda551dfbd0bed77ad8fb90c113e","2026-07-16.1","wiki/_extractions/raw/assets/02_Briefing_Templates/Creative_Briefs/dbs_creative-brief_template.docx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/02_Briefing_Templates/Creative_Briefs/E2E Briefing Documents.pptx","751115","2025-02-09T19:53:32","686fa97a1a73a9b345e1688293e94511736e44aeef87ad11fa25cab5bea815d0","2026-07-16.1","wiki/_extractions/raw/assets/02_Briefing_Templates/Creative_Briefs/e2e-briefing-documents.pptx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/02_Briefing_Templates/Creative_Briefs/Examples/20240907_Custom campaign creative brief.docx","37635","2025-02-09T16:41:30","f6fcb12d1e0cd780c12d26e542f3d50d2605816dd5e1279e0895dd7aea7605a3","2026-07-16.1","wiki/_extractions/raw/assets/02_Briefing_Templates/Creative_Briefs/Examples/20240907_custom-campaign-creative-brief.docx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/02_Briefing_Templates/Creative_Briefs/Examples/DBS_Creative Brief_DBS customs.docx","42965","2025-02-09T16:40:44","682b286d43abc3c7a4e3f9e59b917962b3b4aa7c245743d91488d84a5a7490cf","2026-07-16.1","wiki/_extractions/raw/assets/02_Briefing_Templates/Creative_Briefs/Examples/dbs_creative-brief_dbs-customs.docx.md","ok","green","20260716-184548-695-af09e998"
"raw/assets/02_Briefing_Templates/Email_Briefs/Copy of DBS Supplier Emails_Final_Content Workbook_16022022.xlsx","26237328","2024-03-27T13:44:30","1341546397c14431437fb66f3d032c63f9dbb236f70b98206ebca6cd19b8e8ee","2026-07-16.1","wiki/_extractions/raw/assets/02_Briefing_Templates/Email_Briefs/copy-of-dbs-supplier-emails_final_content-workbook_16022022.xlsx.md","ok","green","20260716-184548-695-af09e998"
