"current_path","sha256","bytes","git_state","component_type","protection_class","provisional_owner","disposition","approval_gate","notes"
"projects/No and low code_1st Marketing Agent/AGENTS.md","d6cb528be478151f506c0e32e33296911a64fe0105b606c72d39ddf6e4f5115f","13024","tracked-clean","instruction","normal","marketing-contextops","move-to-marketing-contextops","G2","refactor into concise system instruction; preserve root constraints"
"projects/No and low code_1st Marketing Agent/Backlog.md","f237035e08c077684e5bb28547e23f99ac0f62339d30f1e30c95dfb0e25d8701","14733","tracked-clean","historical-backlog","normal","marketing-contextops-history","retain-as-history","G3G","contains recovered and hypothesis-stage items; not an implementation order"
"projects/No and low code_1st Marketing Agent/CLAUDE.md","3ecba56ad9a805e0d8f0a2afcb5a9b6d6af2369276759f5183e35d51871b9b81","479","tracked-clean","instruction-adapter","normal","marketing-contextops-conditional","defer","G2","activate only if opened directly as a Claude project"
"projects/No and low code_1st Marketing Agent/context/current-priorities.md","b20b80b042eb49459d9bcced1bea5ce6d0fe83d6dd12275b320e053b3c003351","1447","tracked-clean","historical-working-context","normal","marketing-contextops-history","retain-as-history","G3G","dated origin context; new current-priorities file should be authored separately"
"projects/No and low code_1st Marketing Agent/context/project-brief.md","53dbc6540f9d107097c06244b66dee083e3f03c3a8df26d4a233c736a3c47f8e","1763","tracked-clean","historical-working-context","normal","marketing-contextops-history","retain-as-history","G3G","dated origin context; new current-priorities file should be authored separately"
"projects/No and low code_1st Marketing Agent/decisions/log.md","58535a170689b7af34e8809c59a26f55f7168bde9fa7c18f2807972a0bea4550","21521","tracked-clean","decision-memory","normal","marketing-contextops-history","retain-as-history","G3G","preserve append-only origin decisions without rewriting"
"projects/No and low code_1st Marketing Agent/frameworks/_meta/improvement-backlog.md","98dc66dea4ac675bb24ce9c1e657a9678bd6f9d3f86cb2deba152b78eb2aa88e","3049","tracked-clean","episodic-framework-history","normal","marketing-contextops-history","retain-as-history","G3G","mixed usage and backlog history; do not rewrite or promote automatically"
"projects/No and low code_1st Marketing Agent/frameworks/_meta/usage-log.md","1250f058673ca8894ebae80eed0626c197884549e6e73a3402968dd61875638a","16736","tracked-clean","episodic-framework-history","normal","marketing-contextops-history","retain-as-history","G3G","mixed usage and backlog history; do not rewrite or promote automatically"
"projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/audience-channel-intelligence.md","3a62414cc7a6acce4dceefb87a96d0c4714828bed201529f4f2cbd36de8778e4","3011","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/b2b-buying-committee-intelligence.md","3fd1dff9cbcf0d899b051f1b4e67521f98428047854ae90f1e14ec3970485e5f","3302","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/crestodina-question-driven-audience-analysis.md","223f5a51567d8cc90772884a28f62ec8afdbf5d5facffba1c7b0ff76624b928d","8550","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/five-rings-buying-insight.md","9bdecfb1d70495de45156995152bf1d1352b68e38c583bc0abb6083abb6a1ca1","2978","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/hp-audience-insight-brief.md","39509ece4c111d3d88870279327ec8c8485e9cbc7794f66aa42065f888b13087","3050","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/hubspot-persona-crm-activation.md","b573ed2dee7fe4371f1aa4ca0aebd94814307dd8c44a6897cb49c9f0497912dd","3147","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/index.md","18b6c29f96d26ae2b613312683667d0d3bdda8228189ab7c38e63654853fbd52","3347","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/jtbd-demand-side-understanding.md","0d0a248b14c8dc10bce28c039e65dd11e6772067a240bc831800c1fe3184585a","3087","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/voice-of-customer-language-mining.md","bab71bac57aba7681b91c43bf5a7a33d76242676dc44b23468a089a7b52b0094","3161","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/claim-governance/claim-evidence-risk-use-matrix.md","ecabc9ba977b78d242197f62bd933a152418bae6c00ff7e73357da47a0186604","3423","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/claim-governance/index.md","262e658c8cccd11f0253a17f0931c34120c1ce1e8151ef5fdf49181b80e0f16a","355","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/framework-document-standard.md","40f2cf0129be308586b641583faa52dbb481ac4a7d1b18b39ba460f98ab5e0c4","1644","tracked-clean","framework-standard","normal","root-shared-capability-candidate","defer","G2-boundary","general framework standard may belong with shared framework-builder"
"projects/No and low code_1st Marketing Agent/frameworks/growth-and-planning/d2c-funnel-diagnosis.md","2bc93d9d9850a870838e6d3a82ca606b0e9f5d6ef248b910f13f0d1bba043151","2984","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/growth-and-planning/ecommerce-lifecycle-marketing.md","bc7940407f300548da2ff96e8a4e54b86095c27db240b086a356efd4687a1610","3127","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/growth-and-planning/growth-loop-analysis.md","a75d14053e3729939a8d9dde7c5bdeb41227690d09d4061fb926ef626627ec2d","2787","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/growth-and-planning/index.md","4f101715cca168f3dcbd9e783a4cec96caba88f3493570d90788c73a7c5b3039","1015","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/growth-and-planning/ogsm-strategy-translation.md","ccfec3424628cdf2a5b7e904aaabaf7da1535f3ac70f2ab7268a2ee508f76611","2871","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/index.md","8486c14be6cffda06f7198ad15d0bdb781860237d87b3dc02f139f1dceffe263","3044","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/journey-and-gtm/campaign-role-architecture.md","8dd9cdbe16e2c775a18414c8c8c596e5c23b2156562988d779ed3313e1a4801c","2770","tracked-clean","domain-framework","normal","marketing-operating-system-campaign-candidate","defer","G2-boundary","decide ContextOps method versus shared campaign contract"
"projects/No and low code_1st Marketing Agent/frameworks/journey-and-gtm/human-led-creative-marketing-loop.md","dfdd7d90c33d0af967a56646f124e1ed6981c63dba6185fb1010a44adfb29907","3852","tracked-clean","deprecated-framework","normal","marketing-contextops-history","retain-as-history","G3G","recovered deprecated creative loop; Content OS owns current expression lifecycle"
"projects/No and low code_1st Marketing Agent/frameworks/journey-and-gtm/index.md","d4c200da7be23f1743acb56a5feaacc697c347bc8f849b1d69a47d4b33457caf","2799","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
"projects/No and low code_1st Marketing Agent/frameworks/journey-and-gtm/nonlinear-journey-question-proof-map.md","2a0300d2f0898c840fcdde1fcd874989fa241765a7a285f54807d8a37cc7e5d2","2944","tracked-clean","domain-framework","normal","marketing-contextops","move-to-marketing-contextops","G3E","active ContextOps execution library; verify overlaps and current status before cutover"
