"ref","scope","commit","behind_origin_main","ahead_origin_main","final_disposition","closure_gate","rationale"
"refs/heads/main","local","47a866c222ae172815f7797417280bec5014567b","13","0","fast-forward-at-final-cleanup","all recovery waves closed and origin/main revalidated","Local main is stale but carries no unique commits."
"refs/heads/codex/abm-operating-system","local-worktree","64eccfa93a4861d857630f4dbdf0c1bdf2fbbd23","13","46","delete-after-final-recovery","all recover rows closed; final backup delta and tree verification complete","Primary historical workspace anchor; preserve until the entire manifest is closed."
"refs/heads/codex/archive-abm-workspace-2026-08-09","local","64eccfa93a4861d857630f4dbdf0c1bdf2fbbd23","13","46","delete-after-final-recovery","primary historical anchor and backup verified","Redundant safety pointer to the historical head."
"refs/heads/codex/git-hygiene","local","64eccfa93a4861d857630f4dbdf0c1bdf2fbbd23","13","46","delete-after-final-recovery","primary historical anchor and backup verified","Redundant pointer to the same historical head."
"refs/heads/codex/automated-source-conversion","local-worktree","069e81229aa4d6b87a340484f56f08c3b73774eb","13","31","delete-after-wave-08","wave 08 confirms unique commits are represented or intentionally rejected","Historical source-conversion lineage belongs to governance recovery."
"refs/heads/codex/source-bundle-detection","local","5a3fab4f1da5bbeb5ee741380b15174d723bc6f5","13","30","delete-after-wave-08","wave 08 confirms unique commits are represented or intentionally rejected","Historical source-bundle lineage belongs to governance recovery."
"refs/heads/codex/source-curation-lifecycle","local-worktree","ad025a11815c8b26b04c674ba8522457d8fe6f4a","13","52","delete-after-wave-08","wave 08 confirms unique commits are represented or intentionally rejected","Historical source-curation lineage belongs to governance recovery."
"refs/heads/codex-newsletter-intelligence","local","cfd9f7f264b1e0e1caf2de5a92d78974a1af5a28","13","42","delete-after-wave-09","wave 09 confirms unique commits are represented or intentionally rejected","Historical newsletter lineage belongs to newsletter recovery."
"refs/remotes/origin/codex-newsletter-intelligence","remote","46c5a2daf8a3685e4dd164140403105d85b0d0ef","13","16","delete-after-wave-09","local newsletter lineage and wave 09 are closed","Stale published newsletter branch; retain only until the fuller local lineage is resolved."
"refs/heads/codex/recovery-manifest","local-worktree","42dc219dc301455729109e598e72d36ee9fad174","0","0","delete-after-manifest-merge","manifest PR merged and post-merge baseline passes","Active clean branch for this manifest only."
