"dependency_id","role","repository_path","sha256","bytes","reuse_mode","required_by"
"G3E1-MOVE","component-prestate","wiki/_outputs/marketing-system-architecture-v0-2/contextops-cutover-g3e/move-manifest.csv","7A19072E46D0DD6D0C367172C9E8D1B71C15C611467F4B39CC34FF2D8C4656D7","39112","runtime-input","component-transition;runner;reverse"
"G3E1-REFACTOR-LEDGER","review-provenance","wiki/_outputs/marketing-system-architecture-v0-2/contextops-cutover-g3e/refactor-ledger.csv","C16831BBCF40ABB2E25381947A802F3D0A8C007F2E92E525236B3473D6F0FAF5","7265","static-provenance","component-transition;qa"
"G3E1-REFERENCE","reference-baseline","wiki/_outputs/marketing-system-architecture-v0-2/contextops-cutover-g3e/reference-transition.csv","2542C8DC7667564D5D41FE63DC93BCE5DF52CFC8696E4C0C5FB9D76229CF5801","12227","static-and-late-bound-input","regression;g3e2r-b"
"G3E1-REGRESSION","regression-baseline","wiki/_outputs/marketing-system-architecture-v0-2/contextops-cutover-g3e/regression-contract.md","CFD5B52D3AE95E62676E8030E1197BA914C3D6D6DBCE1E5FEB07B3AE2270D1C5","6876","static-provenance","regression;qa"
"G3E1-ROLLBACK","rollback-baseline","wiki/_outputs/marketing-system-architecture-v0-2/contextops-cutover-g3e/rollback-manifest.csv","ED5CB272AB8B7B07799D4871F672B83764679E13AD865E868F2DD7317D4F4FE8","4726","static-provenance","reverse;qa"
"G3E1-BUNDLE","immutable-bundle-index","wiki/_outputs/marketing-system-architecture-v0-2/contextops-cutover-g3e/g3e-1/candidate/bundle-manifest.csv","D581C9535B6359F7058DA33C3CB9E229EC8EF1C8C2C6C4D49311C75189D20E50","3700","static-integrity-root","validator;qa"
"G3E1-COMPONENT-POST","component-poststate","wiki/_outputs/marketing-system-architecture-v0-2/contextops-cutover-g3e/g3e-1/candidate/manifests/component-posthashes.csv","7159F16ABB619E549C3498821EDAF3D9920B7800DB84470C3681B83802D55CB8","27545","runtime-input","component-transition;runner;reverse"
"G3E1-WRAPPER","wrapper-transition","wiki/_outputs/marketing-system-architecture-v0-2/contextops-cutover-g3e/g3e-1/candidate/manifests/wrapper-transition-manifest.csv","5DA801A1CE4160181EEB098CD17EE7EFFDAADAA0AC756B543FB537B08DFC9EA1","5680","runtime-input","wrapper-tool;runner;reverse"
"G3E1-REFACTOR-SPEC","component-refactor-spec","wiki/_outputs/marketing-system-architecture-v0-2/contextops-cutover-g3e/g3e-1/candidate/specs/component-refactor-operations.json","AE4F970EBAA319AB74FDEDBD45013B108C0B165DD1D39689036AC1C775A8EC0B","27716","runtime-input","component-tool"
"G3E1-APPLY-COMPONENT","component-refactor-tool","wiki/_outputs/marketing-system-architecture-v0-2/contextops-cutover-g3e/g3e-1/candidate/tools/apply-component-refactors.ps1","728A6093F904FE79CEC018B7E5465CF76C06521C77CA11EE3A714E8E274D77A2","5845","runtime-executable","runner"
"G3E1-APPLY-POSTSTATE","exact-poststate-tool","wiki/_outputs/marketing-system-architecture-v0-2/contextops-cutover-g3e/g3e-1/candidate/tools/apply-exact-poststate.ps1","A95E0DBB97A2E97A48EA2D3163EAA0B204C30B0A97AD521D67719727A5A76960","11884","runtime-executable","runner"
"G3E1-POSTSTATE-MANIFEST","superseded-poststate-baseline","wiki/_outputs/marketing-system-architecture-v0-2/contextops-cutover-g3e/g3e-1/candidate/manifests/exact-poststate-manifest.csv","4CBD5C5A62B494494E3925316734CDA2423E588195B18192D33A54F0A8428A75","9309","static-provenance-only","g3e2r-b"
"G3E1-POSTSTATE-ARCHIVE","poststate-content-baseline","wiki/_outputs/marketing-system-architecture-v0-2/contextops-cutover-g3e/g3e-1/candidate/poststate/exact-poststate.zip","0BD0BA9E4A8E30A93DBAE02C1767F8145FD5581E0145DA2CBE06937C5C40C46F","63915","late-bound-source-input","g3e2r-b"
"G3E1-MOS-POST","mos-poststate-baseline","wiki/_outputs/marketing-system-architecture-v0-2/contextops-cutover-g3e/g3e-1/candidate/manifests/mos-posthashes.csv","70EA47A8D49C91B7160D98DFDF2E38DA640947F35B26BDDB5B9243F7503D4A57","4194","static-and-runtime-input","runner;regression"
