"rollback_id","sequence","scope","forward_artifact","rollback_action","required_precondition","success_evidence","state"
"RB-001","1","transaction-routing","review-decision.md","Freeze all ContextOps routing and reject new work until rollback completes.","Named rollback owner and retained transaction id.","No task is accepted by either controller during rollback.","planned-not-authorized"
"RB-002","2","target-authority","projects/marketing-contextops/AGENTS.md","Restore the exact three-file target-shell baseline and operational_authority none.","Scoped byte snapshot contains target aggregate 2CE4350E15D973D05F22393EDF7CC96EF54D4513A5A50ED0C47F9A4BF49A7A0B.","Target contains exactly the three preflight files with their recorded hashes.","blocked-pending-snapshot-method"
"RB-003","3","refactored-components","refactor-ledger.csv","Restore every one of the 21 refactored component bytes to pre_sha256 before reversing its move.","All 21 original bytes are present in the scoped rollback material.","Every restored target file equals refactor-ledger.csv pre_sha256.","blocked-pending-reviewed-post-hashes"
"RB-004","4","physical-move-set","move-manifest.csv","For every MCX row in descending move_id order move target_path back to source_path using literal paths.","All 95 target paths resolve and every Legacy source path is absent.","All 95 source paths resolve; physical aggregate equals D2F54928802186F36288F324DB5E6CB3ADE543D76D8C6176B7F1071276BEE85E.","planned-not-authorized"
"RB-005","5","legacy-control","legacy AGENTS.md and README.md","Remove only the approved residual tombstones and restore the original Legacy control files from their exact archive identities.","Archive paths and original hashes are approved and present.","Legacy AGENTS hash D6CB528BE478151F506C0E32E33296911A64FE0105B606C72D39DDF6E4F5115F and README hash 4BF3F0C4C93C5531AF2ED314EA580B7FF5D1B5A1DFB6D1CC1553E84C4D5D5B57 are restored.","blocked-pending-archive-path-decision"
"RB-006","6","root-discovery-wrappers","reference-transition.csv REF-001 through REF-011","Restore the ten transitioned wrappers to their pre_sha256 values; leave framework-builder at REF-007 unchanged throughout.","Approved deterministic wrapper update method and exact original bytes exist.","All eleven wrapper hashes equal their reference-transition.csv pre_sha256 values.","blocked-pending-wrapper-method"
"RB-007","7","mos-contract-bundle","preflight-baseline.md MOS baseline","Restore all sixteen MOS files from the scoped snapshot without touching other untracked files.","Snapshot resolves all sixteen exact paths and aggregate A90C7A6EA4DCDFE5057B291C373D08702BE7B654146745D4D88D189D0AA73C94.","MOS file count and aggregate equal the preflight baseline.","blocked-pending-snapshot-method"
"RB-008","8","root-operational-references","reference-transition.csv REF-032 and REF-040","Restore recovery tool and wiki index to their recorded pre_sha256 values.","Exact original bytes are present in scoped rollback material.","Both files equal their preflight hashes; historical reference files remain unchanged.","blocked-pending-snapshot-method"
"RB-009","9","decision-records","ContextOps and MOS decision logs","Append a rollback outcome only after byte restoration; never delete or rewrite earlier decisions.","Rollback result and test evidence are final.","Logs preserve earlier entries and identify the rolled-back transaction.","planned-not-authorized"
"RB-010","10","protected-sources","component-register protected-raw rows","Perform no mutation; verify all fourteen registered hashes.","Protected aggregate baseline is available.","Count 14 and aggregate 3D650DD26D91C2828D7D43F63517FAD6BDE50E3AA104F81BAD7B246151252B4F.","planned-not-authorized"
"RB-011","11","legacy-reconciliation","component-register.csv","Reconcile all original Legacy files against the accepted register.","RB-003 through RB-006 completed.","215 rows; 0 missing; 0 drift; 0 additional original Legacy files.","planned-not-authorized"
"RB-012","12","root-regression","tools/test-wiki-integrity.ps1","Run Fast profile read-only.","Byte restoration and reconciliation succeeded.","0 errors and 0 warnings.","planned-not-authorized"
"RB-013","13","mos-regression","projects/marketing-operating-system/tools/test-federation-contracts.ps1","Run the accepted P2B2 suite read-only.","MOS baseline is restored.","16/16 passed; cleanup true; vault mutation none.","planned-not-authorized"
"RB-014","14","rollback-release","review-decision.md","Release the freeze only after every preceding success_evidence is present and independently reviewed.","RB-001 through RB-013 pass.","System state is exactly pre-cutover; failed implementation remains unaccepted.","planned-not-authorized"
