"source_path","lane","source_kind","size_bytes","coverage_status","coverage_ref"
"raw/assets/01_Marketing_Strategie/Campaign_Planning_und_Orchestration/Heinz Marketing/20250724_CMO guide to marketing orchestration.pdf","raw","binary-library","12779819","content-ingested","wiki/sources.md:29"
"raw/assets/01_Marketing_Strategie/Campaign_Types_und_Flows/2025_campaign types_brand_DemandGen_LeadGEN_Conversion.docx","raw","binary-library","17814","content-ingested","wiki/sources.md:29"
"raw/assets/01_Marketing_Strategie/Campaign_Types_und_Flows/2025_campaign types_brnd_DemandDen_LeadGen_Conversion.pptx","raw","binary-library","810573","content-ingested","wiki/sources.md:29"
"raw/assets/01_Marketing_Strategie/Marketing_Strategy_Blueprint/County Marketing Planning Process_Playbook_Presentation 02.01.18111.._.pptx","raw","binary-library","3621892","content-ingested","wiki/sources.md:29"
"raw/assets/01_Marketing_Strategie/OGSM/20240408_OGSM_explained.pptx","raw","binary-library","9167755","content-ingested","wiki/sources.md:29"
"raw/assets/01_Marketing_Strategie/OGSM/OGSM Template.pptx","raw","binary-library","3476114","content-ingested","wiki/sources.md:29"
"raw/assets/02_Briefing_Templates/Creative_Briefs/DBS_Creative Brief_template.docx","raw","binary-library","33098","content-ingested","wiki/sources.md:30"
"raw/assets/04_Persona_und_Audience/Customer_Journey/HP_Customer Journey Template.pptx","raw","binary-library","804258","inventory-only","wiki/sources.md:32"
"raw/assets/08_Reporting_und_Ops/Presentation_Templates/20241209_C-Level Presentation template.pdf","raw","binary-library","138426","inventory-only","wiki/sources.md:34"
"raw/assets/09_Beispiele_HP/Agency brief HP/Agency_Briefing Template.pptx","raw","binary-library","2479184","inventory-only","wiki/sources.md:35"
"raw/assets/09_Beispiele_HP/Country Strategy/Country Marketing Planning templates.pptx","raw","binary-library","1550146","inventory-only","wiki/sources.md:35"
"raw/assets/20260619_Deepmind_from AGI to ASI.pdf","raw","binary-library","794255","content-ingested","wiki/sources.md:61"
"raw/assets/20260723_Account-based Marketing Strategy.pptx","raw","binary-library","5026360","inventory-only","filesystem-inventory"
"raw/assets/A_frameworks_templates/01_Marketing_Strategie/1. ABM_Enterprise Growth Model/nach DMT prozess/20260718_Tei 2_HP_Enterprise_Growth_System_Modell_Legende_2.docx","raw","binary-library","74262","inventory-only","wiki/sources.md:36"
"raw/assets/A_frameworks_templates/01_Marketing_Strategie/1. ABM_Enterprise Growth Model/nach DMT prozess/20260718_Teil 1_HP_Enterprise_Growth_System_Strategischer_Blueprint_.docx","raw","binary-library","81035","inventory-only","wiki/sources.md:36"
"raw/assets/A_frameworks_templates/01_Marketing_Strategie/1. ABM_Enterprise Growth Model/nach DMT prozess/20260718_Teil 3_HP_Enterprise_Growth_System_Implementation_Playbook.docx","raw","binary-library","83201","inventory-only","wiki/sources.md:36"
"raw/assets/A_frameworks_templates/01_Marketing_Strategie/ABM/20260722_Defining_An_ICP_For_Manufacturers_HeinzMarketing.pdf","raw","binary-library","784500","inventory-only","wiki/sources.md:36"
"raw/assets/A_frameworks_templates/06_AI_Prompting/06_Agentic_Prompting/B.U.I.L.D._self-improving framework/20260629_BUILD_Self-improving framework by Ausin Machese.docx","raw","binary-library","49758","content-ingested","wiki/sources.md:55"
"raw/assets/A_frameworks_templates/06_AI_Prompting/06_Agentic_Prompting/B.U.I.L.D._self-improving framework/20260630_BUILD Framework Guide for Claude Code.docx","raw","binary-library","19901","content-ingested","wiki/sources.md:55"
"raw/assets/A_frameworks_templates/06_AI_Prompting/06_Agentic_Prompting/Karparthy 10x blueprint/The Karpathy Method Blueprint (1).docx","raw","binary-library","2972912","content-ingested","wiki/sources.md:45"
"raw/assets/A_frameworks_templates/06_AI_Prompting/06_Agentic_Prompting/Loops/20260629_LOOPS by Austin Marchese.pptx","raw","binary-library","4199729","content-ingested","wiki/sources.md:55"
"raw/assets/A_frameworks_templates/06_AI_Prompting/06_Agentic_Prompting/Skills/20260620_Skill Design Blueprint Recherche.docx","raw","binary-library","2996137","content-ingested","wiki/sources.md:54"
"raw/assets/abm-play-library-context/2024-07-madison-logic-competitive-edge-blueprint.pdf","raw","binary-library","2499674","inventory-only","filesystem-inventory"
"raw/assets/B_MKT_working_library/01_Strategy_and_Planning/Marketing_Strategy/Brand/Research_real/20260719_Gartner_brand-strategy-research.pdf","raw","binary-library","1037161","inventory-only","wiki/sources.md:37"
"raw/assets/B_MKT_working_library/01_Strategy_and_Planning/Marketing_Strategy/Content/Content Strategy/Matt Heinz/2024-Mastering-B2B-Content-Marketing-01.pdf","raw","binary-library","4262336","inventory-only","wiki/sources.md:37"
"raw/assets/B_MKT_working_library/06_Sales_and_Buyer_Enablement/Lead routing/20260605_B2B-State-of-Martech-and-Revenue-Operations-2026.pdf","raw","binary-library","423791","content-ingested","wiki/sources.md:53"
"raw/assets/public-evidence-cycle-01/20240300-demand-gen-report-channel-partner-marketing-benchmark-2024.pdf","raw","binary-library","273454","inventory-only","filesystem-inventory"
"raw/assets/public-evidence-cycle-01/20240400-cmo-survey-spring-2024.pdf","raw","binary-library","2387947","inventory-only","filesystem-inventory"
"raw/assets/public-evidence-cycle-01/20251000-demand-gen-report-account-based-marketing-benchmark-2025.pdf","raw","binary-library","387513","inventory-only","filesystem-inventory"
"raw/assets/README.md","raw","binary-library","374","inventory-only","filesystem-inventory"
"raw/Clippings/3 Marketing Jobs Worth Paying 2x For A Fable 5 UseCase Guide.md","raw","clipping","15988","inventory-only","filesystem-inventory"
"raw/Clippings/A frontier without an ecosystem is not stable.md","raw","clipping","4635","content-ingested","wiki/sources.md:58"
"raw/Clippings/AgentOps Lessons from Over 1,400 Production Deployments of AI Systems.md","raw","clipping","16947","inventory-only","filesystem-inventory"
"raw/Clippings/AI Agent Harness, 3 Principles for Context Engineering, and the Bitter Lesson Revisited.md","raw","clipping","14258","content-ingested","wiki/sources.md:47"
"raw/Clippings/Finally. Agent Loops Clearly Explained.md","raw","clipping","22043","inventory-only","filesystem-inventory"
"raw/Clippings/Forget Agent Skills 1.md","raw","clipping","18772","inventory-only","filesystem-inventory"
"raw/Clippings/Forget Agent Skills.md","raw","clipping","18772","inventory-only","filesystem-inventory"
"raw/Clippings/How to 10x Your Claude Code Projects (Karpathy's Method).md","raw","clipping","16491","inventory-only","filesystem-inventory"
"raw/Clippings/How to Build Claude Subagents Better Than 99% of People 1.md","raw","clipping","36785","inventory-only","filesystem-inventory"
"raw/Clippings/How to Build Claude Subagents Better Than 99% of People 2.md","raw","clipping","36785","inventory-only","filesystem-inventory"
"raw/Clippings/How to Build Claude Subagents Better Than 99% of People.md","raw","clipping","38130","content-ingested","wiki/sources.md:22"
"raw/Clippings/How To Learn To Code In 2026.md","raw","clipping","24092","inventory-only","filesystem-inventory"
"raw/Clippings/How to Rebuild Your Marketing Team for the Agentic Age. Full Breakdown.md","raw","clipping","10169","inventory-only","filesystem-inventory"
"raw/Clippings/How Y Combinator's CEO ACTUALLY Uses Claude Code.md","raw","clipping","17614","inventory-only","filesystem-inventory"
"raw/Clippings/I Turned Claude Fable Into The Ultimate Second Brain 1.md","raw","clipping","46501","inventory-only","filesystem-inventory"
"raw/Clippings/I Turned Claude Fable Into The Ultimate Second Brain.md","raw","clipping","45319","content-ingested","wiki/sources.md:23"
"raw/Clippings/In the Age of AI, You Need a Point of View.md","raw","clipping","7234","inventory-only","filesystem-inventory"
"raw/Clippings/Karpathy's LLM Wiki - Full Beginner Setup Guide.md","raw","clipping","19239","content-ingested","wiki/sources.md:19"
"raw/Clippings/Loop Engineering.md","raw","clipping","15716","inventory-only","filesystem-inventory"
"raw/Clippings/Only the best are using them.md","raw","clipping","13219","content-ingested","wiki/sources.md:24"
"raw/Clippings/positioning-strategy-prompt.pdf.md","raw","clipping","6103","inventory-only","filesystem-inventory"
"raw/Clippings/Post by @cyrilXBT on X.md","raw","clipping","3838","content-ingested","wiki/sources.md:20"
"raw/Clippings/Stop outsourcing your marketing intelligence to AI. Do this instead.md","raw","clipping","8514","inventory-only","filesystem-inventory"
"raw/Clippings/Stop Prompting Claude. Start Loop Engineering.md","raw","clipping","18897","inventory-only","filesystem-inventory"
"raw/Clippings/Stop Watching Tutorials - Build These 4 Claude Projects to 10x Output.md","raw","clipping","20744","inventory-only","filesystem-inventory"
"raw/Clippings/Stripe Alternative for SaaS When to Consider an MoR.md","raw","clipping","15576","content-ingested","wiki/sources.md:60"
"raw/Clippings/The Obsidian Vault Setup That Replaced My $500 Per Month Software Stack.md","raw","clipping","18743","content-ingested","wiki/sources.md:21"
"raw/Clippings/Type This Into Claude, It'll Make You Build 10x Faster.md","raw","clipping","23307","inventory-only","filesystem-inventory"
"raw/Clippings/You NEED to know these vibe coding secrets.md","raw","clipping","29120","inventory-only","filesystem-inventory"
"research/.gitkeep","research","ai-research","0","inventory-only","filesystem-inventory"
"research/2026-07-01-agent-evaluation-recent-research.md","research","ai-research","17739","content-ingested","wiki/sources.md:141"
"research/2026-07-01-agentic-systems-recent-research.md","research","ai-research","20625","content-ingested","wiki/sources.md:142"
"research/2026-07-01-agent-security-recent-research.md","research","ai-research","17200","content-ingested","wiki/sources.md:143"
"research/2026-07-01-ai-governance-recent-research.md","research","ai-research","25029","content-ingested","wiki/sources.md:144"
"research/2026-07-01-applied-ai-use-cases-recent-research.md","research","ai-research","18454","content-ingested","wiki/sources.md:145"
"research/2026-07-01-mcp-and-tool-access-recent-research.md","research","ai-research","24630","content-ingested","wiki/sources.md:146"
"research/2026-07-18-newsletter-intelligence-week4.md","research","ai-research","7556","inventory-only","filesystem-inventory"
"research/2026-07-18-newsletter-intelligence-week4-review-dispositions.md","research","ai-research","1556","inventory-only","filesystem-inventory"
"research/agents-claude-md-research.md","research","ai-research","9057","content-ingested","wiki/sources.md:140"
"research/assets/06_AI_Prompting/05_Creative_und_Video/Creative_Prompting/20260422_Creative_prompting_playbook_marketing.pdf","research","binary-library","22024408","content-ingested","wiki/sources.md:133"
"research/assets/06_AI_Prompting/06_Agentic_Prompting/Evals & observability/20260605_AI Marketing Workflow Assurance Research.docx","research","binary-library","3001825","content-ingested","wiki/sources.md:136"
