"direction","sequence","step_id","mutation_state","gate_function","success_contract","failure_action"
"SEAL","1","SEAL-001","none","Test-ImmutableClosure","G3E-1 A A1 A1R A1R2 A1R3 A1R4 A1R5R and canonical B roots exact","HOLD_NO_SEAL"
"SEAL","2","SEAL-002","none","Test-DetachedSealInput","v2-a1r5r input has unique canonical raw UTC time lexemes and no hash cycle","HOLD_NO_SEAL"
"SEAL","3","SEAL-003","none","Test-ApprovalTemporalAndRuntimeBoundary","four approvals temporal ordering future skew and four runtimes exact","HOLD_NO_SEAL"
"SEAL","4","SEAL-004","none","Test-BArtifactBindings","fifteen operational artifacts exact","HOLD_NO_SEAL"
"SEAL","5","SEAL-005","none","Test-DynamicWrapperFullTreePrestate","complete wrapper tree and derived live-invariant projection exact","HOLD_NO_SEAL"
"SEAL","6","SEAL-006","none","Test-ScopePreflight","staging residue authority inventories protected siblings and virtual ten-path diff pass","HOLD_NO_SEAL"
"SEAL","7","SEAL-007","none","Test-RegressionPreflight","Root Fast 0/0 and MOS 16/16","HOLD_NO_SEAL"
"SEAL","8","SEAL-008","none","Lock-And-Rehash-CompleteClosure","nine expected hashes and complete 10/61/15/4 closure held immutable","HOLD_NO_SEAL"
"SEAL","9","SEAL-009","control-write-only","Write-LiveSealExclusive","one new live-seal-v2.json as exact twentieth file and emitted hash","HOLD_NO_SEAL"
"FWD","1","FWD-001","none","Read-SealV2A1R5R","expected A1 A1R A1R2 A1R3 A1R4 A1R5R and Seal hashes canonical time TTL approvals mutex routing","HOLD_NO_MUTATION"
"FWD","2","FWD-002","none","Test-ImmutableClosure","all ten bundle sixty-one execution fifteen artifact and four runtime bindings exact","HOLD_NO_MUTATION"
"FWD","3","FWD-003","none","Test-ScopePreflight","95 sources targets ordinal-v3 full wrapper tree invariants staging authority inventory and residue pass","HOLD_NO_MUTATION"
"FWD","4","FWD-004","probe-only","Invoke-TransitionWrapperCapabilityProbe","only eleven manifest participants probed then complete wrapper prestate rechecked","HOLD_NO_COMPONENT_MUTATION"
"FWD","5","FWD-005","none","Test-RollbackReadiness","VerifyBundle CheckLivePreState CheckFunctionalPrestate and RestorePlan pass","HOLD_NO_MUTATION"
"FWD","6","FWD-006","none","Invoke-RootFast","0 errors and 0 warnings","HOLD_NO_MUTATION"
"FWD","7","FWD-007","none","Invoke-MosRegressionPre","16/16 cleanup true mutation none","HOLD_NO_MUTATION"
"FWD","8","FWD-008","none","Test-HardReferencesPre","41 paths and 41 positive exact workspace separate advisory","HOLD_NO_MUTATION"
"FWD","9","FWD-009","none","Test-ImmediateMutationBoundary","complete closure full wrapper tree snapshot references authority inventory MOS Root Fast staging and residue repeated","HOLD_NO_MUTATION"
"FWD","10","FWD-010","started","Move-Components","95 sources absent and targets present at pre identities","AUTOMATIC_REVERSE"
"FWD","11","FWD-011","started","Apply-ComponentRefactors","95/95 post hashes 74 identical and 21 refactored","AUTOMATIC_REVERSE"
"FWD","12","FWD-012","started","Apply-ExactPoststate","23/23 exact poststate rows pass","AUTOMATIC_REVERSE"
"FWD","13","FWD-013","started","Apply-TransitionWrapperPoststate","exactly ten transition wrappers changed; verify-only and nonparticipants unchanged","AUTOMATIC_REVERSE"
"FWD","14","FWD-014","started","Test-PoststateIdentity","components poststate full wrapper poststate and residue zero","AUTOMATIC_REVERSE"
"FWD","15","FWD-015","started","Test-AuthorityInventoryPost","one ContextOps authority Legacy residual target 98 MOS 16 siblings exact","AUTOMATIC_REVERSE"
"FWD","16","FWD-016","started","Test-HardReferencesPost","48 hard paths and 31 positive exact workspace excluded","AUTOMATIC_REVERSE"
"FWD","17","FWD-017","started","Invoke-MosRegressionPost","16/16 cleanup true mutation none","AUTOMATIC_REVERSE"
"FWD","18","FWD-018","started","Test-FinalPoststate","Root Fast 0/0 ordinal-v3 dynamic invariants post staging zero and residue zero","AUTOMATIC_REVERSE"
"FWD","19","FWD-019","started","Close-ForwardEvidence","hash-bound result routing frozen and no FWD-020","KEEP_ROUTING_FROZEN"
"REV","1","REV-001","recovery","Open-Reverse","expected A1 A1R A1R2 A1R3 A1R4 A1R5R and Seal retained canonical time mutex routing frozen expiry ignored","HOLD_MANUAL_RECOVERY"
"REV","2","REV-002","recovery","Verify-SnapshotBundle","manifest archive envelope fingerprint and policies exact","HOLD_MANUAL_RECOVERY"
"REV","3","REV-003","recovery","Verify-RestorePlan","all restore actions identity-bound","HOLD_MANUAL_RECOVERY"
"REV","4","REV-004","recovery","Restore-FunctionalPrestate","126 exact restores prefixes preserved and verify-only exact","HOLD_MANUAL_RECOVERY"
"REV","5","REV-005","recovery","Remove-ApprovedComponentTargets","95 sources exact and targets absent without deleting unknown bytes","HOLD_MANUAL_RECOVERY"
"REV","6","REV-006","recovery","Remove-ApprovedCreatedPaths","only three exact create paths removed","HOLD_MANUAL_RECOVERY"
"REV","7","REV-007","recovery","Reconcile-TransitionWrappers","ten participants restored from known pre or post; unknown bytes stop","HOLD_MANUAL_RECOVERY"
"REV","8","REV-008","recovery","Check-FunctionalPrestate","restore exact prefixes and eleven transition-manifest participants pass","HOLD_MANUAL_RECOVERY"
"REV","9","REV-009","recovery","Test-AuthorityInventoryReverse","Legacy 215 target 3 MOS 16 siblings unchanged","HOLD_MANUAL_RECOVERY"
"REV","10","REV-010","recovery","Test-ReverseReferencesAndResidue","idempotent witnesses 41/41 reverse references and known residue reconciliation pass","HOLD_MANUAL_RECOVERY"
"REV","11","REV-011","recovery","Invoke-ReverseRegressions","MOS 16/16 Root Fast 0/0 ordinal-v3 dynamic reverse invariants and staging observed","HOLD_MANUAL_RECOVERY"
"REV","12","REV-012","recovery","Close-ReverseEvidence","functional prestate retained external nonparticipant drift classified routing frozen","KEEP_ROUTING_FROZEN"


