"sequence","step_id","scope","precondition","action","success_evidence","failure_rule","simulation_state"
"1","REV-001","routing","A G3E2 mutation started or a postcheck failed.","Freeze all ContextOps task intake and retain the transaction id.","Neither controller accepts new work during rollback.","Do not continue normal operation.","modeled"
"2","REV-002","rollback identity","G3E snapshot files are readable.","Run snapshot Verify and RestorePlan against the exact in-Vault snapshot directory.","130 rows, 129 entries, policy 126/3/1.","Stop for manual recovery; never substitute Git-only material.","pass"
"3","REV-003","snapshot restore","REV-002 passed and explicit rollback authority exists.","Run snapshot Restore with AllowRestore. Restore 126 exact files, preserve three log prefixes, and verify framework-builder unchanged.","126 restore-exact, 3 append-only-prefix, and 1 verify-only all pass.","Keep routing frozen and escalate any unknown current bytes.","pass"
"4","REV-004","moved components","All 95 Legacy sources now exist with move-manifest pre hashes.","Delete each manifested target file individually only when its hash is one of that row's approved pre/post identities.","95 source files exact; 95 target component files absent; target shell retains exactly three files.","Never delete an unknown target identity.","pass"
"5","REV-005","created cutover controls","Each created path is absent or equals its exact post hash.","Delete only the two Legacy control archives and tools/sync_agents_skills.py when their exact post hashes match.","All three created paths absent.","Never delete an unknown identity.","pass"
"6","REV-006","audit logs","Functional bytes are restored and the rollback outcome is known.","Append one rollback witness to each of the three logs; do not delete the retained cutover candidate entry.","Every original log remains an exact prefix and the transaction outcome is explicit.","Keep routing frozen if an append fails.","not-run-in-fixture-dynamic-transaction-id"
"7","REV-007","legacy register","REV-003 through REV-005 passed.","Reconcile the 215-row Legacy register using exact hashes except the decision log's preserved prefix.","214 exact, 1 append-only prefix, 0 missing, 0 unexplained drift.","HOLD.","pass"
"8","REV-008","wrappers and target shell","Snapshot restore completed.","Run wrapper check/pre and target-shell inventory.","11/11 wrappers; exactly three target-shell files; framework-builder unchanged.","HOLD.","pass"
"9","REV-009","MOS and root references","Snapshot restore completed.","Verify 16 MOS pre hashes and both root operational references; run accepted MOS suite.","MOS 16/16; cleanup true; Vault mutation none.","HOLD.","pass"
"10","REV-010","protected and sibling state","Rollback functional state is restored.","Recompute protected-source and sibling-controller invariants.","No G3E mutation outside scope.","HOLD.","pass"
"11","REV-011","global Vault","All rollback checks pass.","Run Root Fast.","0 errors / 0 warnings.","Keep routing frozen until unrelated global blockers are separately resolved.","blocked-sources.coverage-stale"
"12","REV-012","rollback close","REV-001 through REV-011 pass and rollback witness exists.","Retain the reverse report and release the freeze back to the restored Legacy controller.","Functional pre-state plus append-only audit trail is human-reviewed.","Do not release on partial evidence.","conditional"
