"move_id","source_path","target_path","pre_sha256","bytes","component_class","move_mode","expected_post_sha256","approval_basis","cutover_state"
"MCX-001","projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/audience-channel-intelligence.md","projects/marketing-contextops/frameworks/audience-understanding/audience-channel-intelligence.md","3A62414CC7A6ACCE4DCEEFB87A96D0C4714828BED201529F4F2CBD36DE8778E4","3011","framework","byte-identical-move","3A62414CC7A6ACCE4DCEEFB87A96D0C4714828BED201529F4F2CBD36DE8778E4","G1-component-register","planned-not-authorized"
"MCX-002","projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/b2b-buying-committee-intelligence.md","projects/marketing-contextops/frameworks/audience-understanding/b2b-buying-committee-intelligence.md","D6F627096E9B55C8B71712C796194AB57CDF08171F0B462A1B7C3CA74B96A1A5","3192","framework","byte-identical-move","3FD1DFF9CBCF0D899B051F1B4E67521F98428047854AE90F1E14EC3970485E5F","G1-component-register","planned-not-authorized"
"MCX-003","projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/crestodina-question-driven-audience-analysis.md","projects/marketing-contextops/frameworks/audience-understanding/crestodina-question-driven-audience-analysis.md","984F653CBF794D1014F07DE0E9806CC171D4B828C412F29D12EEB83725E87BE2","8327","framework","byte-identical-move","223F5A51567D8CC90772884A28F62EC8AFDBF5D5FACFFBA1C7B0FF76624B928D","G1-component-register","planned-not-authorized"
"MCX-004","projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/five-rings-buying-insight.md","projects/marketing-contextops/frameworks/audience-understanding/five-rings-buying-insight.md","9BDECFB1D70495DE45156995152BF1D1352B68E38C583BC0ABB6083ABB6A1CA1","2978","framework","byte-identical-move","9BDECFB1D70495DE45156995152BF1D1352B68E38C583BC0ABB6083ABB6A1CA1","G1-component-register","planned-not-authorized"
"MCX-005","projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/hp-audience-insight-brief.md","projects/marketing-contextops/frameworks/audience-understanding/hp-audience-insight-brief.md","6AB9C12BA7E948F361E6C4B7589DB6A38D94BA48A284318B94C31E1E1D289309","2942","framework","byte-identical-move","39509ECE4C111D3D88870279327EC8C8485E9CBC7794F66AA42065F888B13087","G1-component-register","planned-not-authorized"
"MCX-006","projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/hubspot-persona-crm-activation.md","projects/marketing-contextops/frameworks/audience-understanding/hubspot-persona-crm-activation.md","B573ED2DEE7FE4371F1AA4CA0AEBD94814307DD8C44A6897CB49C9F0497912DD","3147","framework","byte-identical-move","B573ED2DEE7FE4371F1AA4CA0AEBD94814307DD8C44A6897CB49C9F0497912DD","G1-component-register","planned-not-authorized"
"MCX-007","projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/index.md","projects/marketing-contextops/frameworks/audience-understanding/index.md","18B6C29F96D26AE2B613312683667D0D3BDDA8228189AB7C38E63654853FBD52","3347","framework","byte-identical-move","18B6C29F96D26AE2B613312683667D0D3BDDA8228189AB7C38E63654853FBD52","G1-component-register","planned-not-authorized"
"MCX-008","projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/jtbd-demand-side-understanding.md","projects/marketing-contextops/frameworks/audience-understanding/jtbd-demand-side-understanding.md","0D0A248B14C8DC10BCE28C039E65DD11E6772067A240BC831800C1FE3184585A","3087","framework","byte-identical-move","0D0A248B14C8DC10BCE28C039E65DD11E6772067A240BC831800C1FE3184585A","G1-component-register","planned-not-authorized"
"MCX-009","projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/voice-of-customer-language-mining.md","projects/marketing-contextops/frameworks/audience-understanding/voice-of-customer-language-mining.md","C3551D0FED63B7C6CCA77CF14E41A840C3CD9A91143F097817379E59F1178F80","3053","framework","byte-identical-move","BAB71BAC57ABA7681B91C43BF5A7A33D76242676DC44B23468A089A7B52B0094","G1-component-register","planned-not-authorized"
"MCX-010","projects/No and low code_1st Marketing Agent/frameworks/claim-governance/claim-evidence-risk-use-matrix.md","projects/marketing-contextops/frameworks/claim-governance/claim-evidence-risk-use-matrix.md","ECABC9BA977B78D242197F62BD933A152418BAE6C00FF7E73357DA47A0186604","3423","framework","move-plus-reviewed-refactor","pending-reviewed-patch","G1-component-register","planned-not-authorized"
