"path","closure","artifact_status","backup_sha256","recovered_sha256","curated_after_recovery","sensitive_content_review","publication_authority","notes"
"projects/ai/AGENTS.md","recovered","not-applicable","678492597295772db3d9bc48beebf01212651d3685eb9ddab4dcecd4df75f78a","e3031c8fcdcd783cd81d62bdb125696f4179d62f0cad492756c6748c43530a1d","true","passed","unchanged-none-or-file-state","Curated only to remove one terminal blank line for a clean Git patch; content and publication boundary unchanged."
"projects/ai/authority/briefs/j-space-operational-ai-judgment-linkedin-article-brief-v1.md","recovered","superseded","66ca4bfaa31b3e1562363939f3b7420f0f8f890068e3d459f3ca6fd25be563be","dcb9afc928686e6243a789b284a8cde84397c62a68426d7e26c507b945e8a968","true","passed","unchanged-none-or-file-state","Curated for current navigation, lifecycle-state consistency, private-path removal, or whitespace-safe Markdown; publication boundary preserved."
"projects/ai/authority/briefs/j-space-silent-reasoning-linkedin-article-brief-v1.md","recovered","approved-for-draft","3516982a86d3ba3af4bc9a2fc4894bfa04a80c20adb55b9c728e1baf08797402","3516982a86d3ba3af4bc9a2fc4894bfa04a80c20adb55b9c728e1baf08797402","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/ai/authority/briefs/j-space-thought-suppression-linkedin-article-brief-v1.md","recovered","superseded","3bd7600ba5e52f2ea0990655b40016fd18659b88de7ac6f20f61f284d1e6c837","42abf822b2d6f5966cf9daf3d463902b5bd2599084066936980f7083ffe65dac","true","passed","unchanged-none-or-file-state","Curated for current navigation, lifecycle-state consistency, private-path removal, or whitespace-safe Markdown; publication boundary preserved."
"projects/ai/authority/briefs/llm-thinking-emergence-linkedin-article-brief-v1.md","recovered","superseded","2f195674c19315c28e877fca9e06e581ebf1a443bb23e39fb7a7d7b24f562bd1","2f195674c19315c28e877fca9e06e581ebf1a443bb23e39fb7a7d7b24f562bd1","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/ai/authority/briefs/llm-thinking-emergence-linkedin-article-brief-v2.md","recovered","superseded","04690e60f9619ca0abf48d3f7cd542bced68bc7e4cf1f7d745922ec510f11e01","04690e60f9619ca0abf48d3f7cd542bced68bc7e4cf1f7d745922ec510f11e01","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/ai/authority/briefs/llm-thinking-emergence-linkedin-article-brief-v3.md","recovered","superseded","dd0812b430eda4628d554448bf78f4ad6dc0140164110beed1d9a6dabcabd38b","dd0812b430eda4628d554448bf78f4ad6dc0140164110beed1d9a6dabcabd38b","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/ai/authority/briefs/llm-thinking-emergence-linkedin-article-brief-v4.md","recovered","superseded","19e57f059d3370d42527786df15d3cb78fc94fd6d702bfaa05fc1b1db0a54829","19e57f059d3370d42527786df15d3cb78fc94fd6d702bfaa05fc1b1db0a54829","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/ai/authority/briefs/llm-thinking-emergence-linkedin-article-brief-v5.md","recovered","in-review","d6fe71b7b0f8eafa16c75ab053e40725e27696530b11ad0d2aab876bb2dce5fd","d6fe71b7b0f8eafa16c75ab053e40725e27696530b11ad0d2aab876bb2dce5fd","false","passed","unchanged-none-or-file-state","Recovered byte-identically from verified backup."
"projects/ai/authority/briefs/llm-thinking-emergence-linkedin-post-brief-v1.md","recovered","in-review","20fba47cbbcc199482aaa7656dd32634a9d1517bea22207c74263af540d45c7d","3e7eec7264b831a6db3cb46319ee3bba2304bf83aedc3337caf0b7ed04cf43a8","true","passed","unchanged-none-or-file-state","Curated only to remove one terminal blank line for a clean Git patch; content and publication boundary unchanged."
