"sequence","step_id","phase","executor","timeout_seconds","precondition","success_evidence","failure_rule"
"1","REV-001","freeze-and-identify","reverse:open","0","A forward mutation started or a postcheck failed.","Routing remains frozen and the exact transaction id is retained.","Never resume normal operation."
"2","REV-002","snapshot-bundle","snapshot:verify-bundle","120","The seal-bound snapshot directory is readable.","Manifest, archive, envelope, fingerprint, hashes, entries, and restore policies pass without a live-prestate assertion.","Stop for manual recovery; never substitute unbound material."
"3","REV-003","restore-plan","snapshot:restore-plan","120","REV-002 passed.","Every restore action is enumerated and identity-bound; no bytes written.","Stop for manual recovery."
"4","REV-004","functional-restore","snapshot:restore","300","REV-002 and REV-003 passed and reverse authority is explicit.","Exact files restored, append-only prefixes preserved, verify-only rows unchanged.","Keep routing frozen and report the exact path."
"5","REV-005","target-component-cleanup","reverse:component-cleanup","180","All 95 Legacy sources match pre hashes after snapshot restore.","Each target is absent or deleted only from an approved pre/post identity; 95 sources exact and 95 targets absent.","Never delete unknown bytes."
"6","REV-006","created-control-cleanup","reverse:created-cleanup","120","Refreshed exact-poststate manifest is seal-bound.","Only create-exact paths with exact approved post hashes are removed.","Never delete unknown bytes."
"7","REV-007","wrapper-prestate","wrapper:check-pre","90","Snapshot restore completed.","11/11 wrappers match prestate and framework-builder is unchanged.","HOLD."
"8","REV-008","functional-prestate","snapshot:check-functional-prestate","120","Cleanup completed.","Restore-exact rows match, append logs preserve the captured prefix, verify-only rows match.","HOLD."
"9","REV-009","mos-and-authority","regression:mos-prestate","180","Functional prestate passes.","MOS baseline, Legacy controller, target shell, and sibling boundaries pass.","HOLD."
"10","REV-010","references-and-residue","reverse:invariants","120","REV-004 through REV-009 pass.","Prestate hard references pass, workspace remains Advisory, and transaction residue is zero.","HOLD."
"11","REV-011","root-regression","regression:root-fast","300","All reverse checks pass.","Root Fast returns 0 errors and 0 warnings.","Keep routing frozen."
"12","REV-012","reverse-close","reverse:report","0","REV-001 through REV-011 pass.","Hash-bound reverse result is emitted for human review; functional prestate plus append-only audit history is retained.","Do not release routing automatically."
