"refactor_id","target_path","pre_sha256","conflict_class","required_change","expected_post_sha256","approval_state"
"RFX-001","projects/marketing-contextops/frameworks/claim-governance/claim-evidence-risk-use-matrix.md","ECABC9BA977B78D242197F62BD933A152418BAE6C00FF7E73357DA47A0186604","provenance-path","Replace unresolved projects/Nadeln example with the exact current Legacy-custody path; do not route to inactive company-workspaces.","pending-reviewed-patch","review-required-before-cutover"
"RFX-002","projects/marketing-contextops/frameworks/growth-and-planning/d2c-funnel-diagnosis.md","2BC93D9D9850A870838E6D3A82CA606B0E9F5D6EF248B910F13F0D1BBA043151","provenance-path","Replace unresolved projects/Das-Familienbuch example with the exact current Legacy-custody path.","pending-reviewed-patch","review-required-before-cutover"
"RFX-003","projects/marketing-contextops/frameworks/growth-and-planning/ecommerce-lifecycle-marketing.md","BC7940407F300548DA2FF96E8A4E54B86095C27DB240B086A356EFD4687A1610","provenance-path","Replace unresolved wiki/_outputs example with the exact Legacy-project path.","pending-reviewed-patch","review-required-before-cutover"
"RFX-004","projects/marketing-contextops/frameworks/market-analysis/market-boundary-alternative-set-analysis.md","CC71FCCA6E10086FAE2BCE3A55D28FF64A1291A61AF35036F0E66F14456CC55D","provenance-path","Replace unresolved projects/Das-Familienbuch example with the exact current Legacy-custody path.","pending-reviewed-patch","review-required-before-cutover"
"RFX-005","projects/marketing-contextops/frameworks/orchestration-and-learning/evidence-led-recursive-learning.md","2469EA3E95DC51E7690DE4848F4CD951A167DC957F8B4EE10F5D4F32E9308251","learning-governance","Remove the standalone recursive-learning-update dependency; retain bounded episode and reviewed pattern-candidate behavior only.","pending-reviewed-patch","review-required-before-cutover"
"RFX-006","projects/marketing-contextops/frameworks/positioning/competitive-alternative-positioning.md","81EEC18856B68802BBC14D09B21D2CAC1EA0808E314F5473CE7C3759C8A6DC71","provenance-path","Replace unresolved projects/Das-Familienbuch example with the exact current Legacy-custody path.","pending-reviewed-patch","review-required-before-cutover"
"RFX-007","projects/marketing-contextops/frameworks/segmentation/category-entry-point-demand-situations.md","263DD54ACC4D91F1A0610D7A233D3BAA8B49164FACB9BAA050ECDED1852BE770","provenance-path","Replace unresolved wiki/_outputs example with the exact Legacy-project path.","pending-reviewed-patch","review-required-before-cutover"
"RFX-008","projects/marketing-contextops/frameworks/segmentation/segmentation-basis-selection-stp.md","37DF821409CA0538A216FBCCF4161925B2E854E825A36680724C32514B8752EA","provenance-path","Replace unresolved wiki/_outputs example with the exact Legacy-project path.","pending-reviewed-patch","review-required-before-cutover"
"RFX-009","projects/marketing-contextops/skills/audience-understanding/SKILL.md","DB1CD78F49F468BC5DA5CB36C1082A62C4A163F974F54FF8F4C5644A363EEE89","source-project-routing","Require an explicit source_project and write concrete outputs there; never into marketing-contextops.","pending-reviewed-patch","review-required-before-cutover"
"RFX-010","projects/marketing-contextops/skills/b2b-gtm-mapping/SKILL.md","D26490D349220E09B24A806339AB583B1569CB7689ED6EB8FE58FE6144F593D7","source-project-routing","Require an explicit source_project and write concrete GTM maps there.","pending-reviewed-patch","review-required-before-cutover"
"RFX-011","projects/marketing-contextops/skills/buying-contexts/SKILL.md","69C02E2FD31E64F1841379B86EA33AF49C21D07380E246A5986FA606DECF7E4F","source-project-routing","Require an explicit source_project and write concrete outputs there.","pending-reviewed-patch","review-required-before-cutover"
"RFX-012","projects/marketing-contextops/skills/company-evidence-intake/references/source-summary-template.md","D864887C75465E201F4825FD11D758603DAE2BAC051930F1F3DA508F0081926C","source-custody-routing","Make source paths repository-relative to Root custody or the explicitly approved source project.","pending-reviewed-patch","review-required-before-cutover"
"RFX-013","projects/marketing-contextops/skills/company-evidence-intake/SKILL.md","2C3FF814B9A2E42E7C8A2F31AFEF712C65C0405AF56A57A2AEFAAACB7580CBD2","source-custody-routing","Route immutable sources to Root custody and concrete derivatives to source_project; create no local raw research or wiki tree.","pending-reviewed-patch","review-required-before-cutover"
"RFX-014","projects/marketing-contextops/skills/company-strategy-orchestrator/SKILL.md","BF5B2FAE4248507BBB443285AD1F0AE357D946857F1753EC3040668C8BB35378","source-project-and-learning-governance","Require source_project for concrete artifacts and replace recursive-learning-update with governed episodic learning and review-only pattern proposals.","pending-reviewed-patch","review-required-before-cutover"
"RFX-015","projects/marketing-contextops/skills/contextops-validator/SKILL.md","30E22D65B6B3A1B95C5D28E95C88FF93B75F7E7E143586E56F9890264B8B12DA","learning-governance","Replace recursive-learning-update escalation with source-owned failure episodes and reviewed pattern proposals.","pending-reviewed-patch","review-required-before-cutover"
"RFX-016","projects/marketing-contextops/skills/marktanalyse/SKILL.md","4A233A69C8A2286010706BED6C1113E79F1CB37D20350BC435EB37533E6DC99B","source-project-routing","Require an explicit source_project and write the context packet there.","pending-reviewed-patch","review-required-before-cutover"
"RFX-017","projects/marketing-contextops/skills/proof-led-positioning/SKILL.md","AA26AC3695D0D69C1153B076325AA77FD5D832C409CB059878C2ABDACDAB4AA4","source-project-routing","Require an explicit source_project and write positioning outputs there.","pending-reviewed-patch","review-required-before-cutover"
"RFX-018","projects/marketing-contextops/skills/second-brain-framework-fit/SKILL.md","156210EC997D6FCA4E11F16CE4413B908F596A056B870A3C7B4EE5D0B1B81C91","root-knowledge-routing","Replace the missing local wiki/second-brain-source-map.md dependency with the Root reusable-practices router and library.","pending-reviewed-patch","review-required-before-cutover"
"RFX-019","projects/marketing-contextops/skills/segmentation-strategy/SKILL.md","A8CFC45CCD9377111694528400E384B0AFF65D06C967085FEE67B2E796AD4147","source-project-routing","Require an explicit source_project and write segmentation outputs there.","pending-reviewed-patch","review-required-before-cutover"
"RFX-020","projects/marketing-contextops/workflows/company-context-development.md","A0B557F9A67EF18359330C000AA92170E923BA5225C47103C45AF255E5B09DEC","source-project-routing","Define source_project-owned wiki and output destinations; marketing-contextops owns only the method.","pending-reviewed-patch","review-required-before-cutover"
"RFX-021","projects/marketing-contextops/workflows/marketing-agent-runbook.md","5C802CA8053426522B9C020FB1F68AECBE1E97659B5FAA079ABB03F00BCD5021","source-project-routing","Remove target-local project-vault assumptions; require explicit Root source custody source_project and downstream contract paths.","pending-reviewed-patch","review-required-before-cutover"
