"move_id","source_path","target_path","move_mode","pre_sha256","pre_bytes","post_sha256","post_bytes","refactor_id","operation_count","identity_state","rollback_policy","dependency_binding"
"MCX-001","projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/audience-channel-intelligence.md","projects/marketing-contextops/frameworks/audience-understanding/audience-channel-intelligence.md","byte-identical-move","3A62414CC7A6ACCE4DCEEFB87A96D0C4714828BED201529F4F2CBD36DE8778E4","3011","3A62414CC7A6ACCE4DCEEFB87A96D0C4714828BED201529F4F2CBD36DE8778E4","3011","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-002","projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/b2b-buying-committee-intelligence.md","projects/marketing-contextops/frameworks/audience-understanding/b2b-buying-committee-intelligence.md","byte-identical-move","D6F627096E9B55C8B71712C796194AB57CDF08171F0B462A1B7C3CA74B96A1A5","3192","D6F627096E9B55C8B71712C796194AB57CDF08171F0B462A1B7C3CA74B96A1A5","3192","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-003","projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/crestodina-question-driven-audience-analysis.md","projects/marketing-contextops/frameworks/audience-understanding/crestodina-question-driven-audience-analysis.md","byte-identical-move","984F653CBF794D1014F07DE0E9806CC171D4B828C412F29D12EEB83725E87BE2","8327","984F653CBF794D1014F07DE0E9806CC171D4B828C412F29D12EEB83725E87BE2","8327","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-004","projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/five-rings-buying-insight.md","projects/marketing-contextops/frameworks/audience-understanding/five-rings-buying-insight.md","byte-identical-move","9BDECFB1D70495DE45156995152BF1D1352B68E38C583BC0ABB6083ABB6A1CA1","2978","9BDECFB1D70495DE45156995152BF1D1352B68E38C583BC0ABB6083ABB6A1CA1","2978","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-005","projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/hp-audience-insight-brief.md","projects/marketing-contextops/frameworks/audience-understanding/hp-audience-insight-brief.md","byte-identical-move","6AB9C12BA7E948F361E6C4B7589DB6A38D94BA48A284318B94C31E1E1D289309","2942","6AB9C12BA7E948F361E6C4B7589DB6A38D94BA48A284318B94C31E1E1D289309","2942","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-006","projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/hubspot-persona-crm-activation.md","projects/marketing-contextops/frameworks/audience-understanding/hubspot-persona-crm-activation.md","byte-identical-move","B573ED2DEE7FE4371F1AA4CA0AEBD94814307DD8C44A6897CB49C9F0497912DD","3147","B573ED2DEE7FE4371F1AA4CA0AEBD94814307DD8C44A6897CB49C9F0497912DD","3147","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-007","projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/index.md","projects/marketing-contextops/frameworks/audience-understanding/index.md","byte-identical-move","18B6C29F96D26AE2B613312683667D0D3BDDA8228189AB7C38E63654853FBD52","3347","18B6C29F96D26AE2B613312683667D0D3BDDA8228189AB7C38E63654853FBD52","3347","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-008","projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/jtbd-demand-side-understanding.md","projects/marketing-contextops/frameworks/audience-understanding/jtbd-demand-side-understanding.md","byte-identical-move","0D0A248B14C8DC10BCE28C039E65DD11E6772067A240BC831800C1FE3184585A","3087","0D0A248B14C8DC10BCE28C039E65DD11E6772067A240BC831800C1FE3184585A","3087","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-009","projects/No and low code_1st Marketing Agent/frameworks/audience-understanding/voice-of-customer-language-mining.md","projects/marketing-contextops/frameworks/audience-understanding/voice-of-customer-language-mining.md","byte-identical-move","C3551D0FED63B7C6CCA77CF14E41A840C3CD9A91143F097817379E59F1178F80","3053","C3551D0FED63B7C6CCA77CF14E41A840C3CD9A91143F097817379E59F1178F80","3053","","0","byte-identical","move-back-exact","G3E1-MOVE+G3E1-COMPONENT-POST"
"MCX-010","projects/No and low code_1st Marketing Agent/frameworks/claim-governance/claim-evidence-risk-use-matrix.md","projects/marketing-contextops/frameworks/claim-governance/claim-evidence-risk-use-matrix.md","move-plus-reviewed-refactor","ECABC9BA977B78D242197F62BD933A152418BAE6C00FF7E73357DA47A0186604","3423","858ECD1BD4A50960DD87D1FD749B754C2D2E054E6839B0F1E8F7CA0A63F91C55","3468","RFX-001","1","reviewed-refactor-candidate","restore-pre-and-move-back","G3E1-MOVE+G3E1-COMPONENT-POST"
