"reference_id","referencing_path","pre_sha256","legacy_occurrences","classification","required_action","postcondition","cutover_state"
"REF-001",".agents/skills/audience-understanding/SKILL.md","EEF131E93F5BC4427D5AAA9B23278013B114108A4D22EDF8DE7C8329B989D0FA","1","operational-transition","Repoint canonical skill path to target during atomic cutover.","Wrapper resolves only to target; old occurrence absent.","planned-not-authorized"
"REF-002",".agents/skills/b2b-gtm-mapping/SKILL.md","BA42E2105BD3A35AD76D0C5A579DCD658ABA3C418CF1D60CAD1BFB9F78AE0085","1","operational-transition","Repoint canonical skill path to target during atomic cutover.","Wrapper resolves only to target; old occurrence absent.","planned-not-authorized"
"REF-003",".agents/skills/buying-contexts/SKILL.md","E31288E7059AFA551447AB5ED90EA696D94A725B9CA3281083A169787FE5D92E","1","operational-transition","Repoint canonical skill path to target during atomic cutover.","Wrapper resolves only to target; old occurrence absent.","planned-not-authorized"
"REF-004",".agents/skills/claim-governance/SKILL.md","E142D94D32631825D37292A9E41D03BD32C61BF3C86E8A8CE1B733AA66B594AF","1","operational-transition","Repoint canonical skill path to target during atomic cutover.","Wrapper resolves only to target; old occurrence absent.","planned-not-authorized"
"REF-005",".agents/skills/company-evidence-intake/SKILL.md","395154D681B964BA12FFC179B6A82270B098BAC15ECB56219A84779C582B7AB8","1","operational-transition","Repoint canonical skill path to target during atomic cutover.","Wrapper resolves only to target; old occurrence absent.","planned-not-authorized"
"REF-006",".agents/skills/contextops-validator/SKILL.md","00D4E92CB153E25C17C15A7F41640E0428A21A8F5573F2B533680E730509927E","1","operational-transition","Repoint canonical skill path to target during atomic cutover.","Wrapper resolves only to target; old occurrence absent.","planned-not-authorized"
"REF-007",".agents/skills/framework-builder/SKILL.md","6A93B24C869B51D9D994A6CA34BE7AA307E0821975DAFBB6ED4CFEBBA5A0FEA6","1","historical-preserve","Do not repoint in this cutover; held root-shared dependency remains Legacy.","Hash and one old occurrence unchanged.","planned-not-authorized"
"REF-008",".agents/skills/marktanalyse/SKILL.md","AF205E4EC4206E8A66DA9207945DC993FE4C688E2543E2A36D7037BA0F411440","1","operational-transition","Repoint canonical skill path to target during atomic cutover.","Wrapper resolves only to target; old occurrence absent.","planned-not-authorized"
"REF-009",".agents/skills/proof-led-positioning/SKILL.md","2E93FE264C7D7C297651EE118C0A26B491040E44CB370ED5E4D3E05FC89F08DC","1","operational-transition","Repoint canonical skill path to target during atomic cutover.","Wrapper resolves only to target; old occurrence absent.","planned-not-authorized"
"REF-010",".agents/skills/second-brain-framework-fit/SKILL.md","4321AD389D46ABD3C35CD5ACC9B6EF0BC8646FA6A576A2BA45BCAFB7B1AC66AD","1","operational-transition","Repoint canonical skill path to target during atomic cutover.","Wrapper resolves only to target; old occurrence absent.","planned-not-authorized"
"REF-011",".agents/skills/segmentation-strategy/SKILL.md","E1248D17E7E86891E51A30A8C3180EA98AC8230886E8B5B32A4BC7F8F5EB3007","1","operational-transition","Repoint canonical skill path to target during atomic cutover.","Wrapper resolves only to target; old occurrence absent.","planned-not-authorized"
"REF-012","projects/abm-operating-system/2026-07-21-abm-operating-system-implementation-plan.md","C268AB4DBAA365EEAD8849D6CBBED1A07B9D1E654C29AD2F821D68413A9B36A4","1","historical-preserve","No path rewrite.","Hash and occurrence count unchanged.","planned-not-authorized"
"REF-013","projects/abm-operating-system/decisions/log.md","896F9F58191E50ACE974760F36F93F46AEB37552B481BA712283B580A0CF33FA","1","historical-preserve","No path rewrite; future entries append only.","Existing bytes and occurrence remain historical.","planned-not-authorized"
"REF-014","projects/abm-operating-system/frameworks/_meta/improvement-backlog.md","702C4F41F20738C3A21B302853E06A4E64F3611944E46719510A8908120238F4","1","historical-preserve","No path rewrite.","Hash and occurrence count unchanged.","planned-not-authorized"
"REF-015","projects/abm-operating-system/frameworks/_meta/usage-log.md","419507BC6CF086F8F7D73B5502D10211D965EFDC11756D04EC9EC037119CF387","1","historical-preserve","No path rewrite.","Hash and occurrence count unchanged.","planned-not-authorized"
"REF-016","projects/abm-operating-system/wiki/_outputs/abm-seed-asset-manifest.md","D7DFE78B48166815541E64974DDE573E396F1D6A940DFBFD98E01ED5C22CB55E","22","historical-preserve","No path rewrite.","Hash and 22 occurrences unchanged.","planned-not-authorized"
"REF-017","projects/company-workspaces/README.md","D2E46DBA85E2EC7D35984E9B0E248A299053087AA1A407FABD6489F59F82A00A","1","historical-preserve","No path rewrite until a separate workspace-admission gate.","Existing embedded-location evidence remains.","planned-not-authorized"
