"direction","sequence","step_id","mutation_state","gate_function","success_contract","failure_action"
"SEAL","1","SEAL-001","none","Test-ImmutableClosure","G3E-1 A A1 A1R and canonical B roots exact","HOLD_NO_SEAL"
"SEAL","2","SEAL-002","none","Test-DetachedSealInput","v2-a1r input has no self or B-manifest hash cycle","HOLD_NO_SEAL"
"SEAL","3","SEAL-003","none","Test-ApprovalAndRuntimeBoundary","four approvals routing frozen and four runtimes exact","HOLD_NO_SEAL"
"SEAL","4","SEAL-004","none","Test-BArtifactBindings","fifteen operational artifacts exact","HOLD_NO_SEAL"
"SEAL","5","SEAL-005","none","Test-LivePrestate","component snapshot wrapper references and twenty-eight invariants exact","HOLD_NO_SEAL"
"SEAL","6","SEAL-006","none","Test-ScopePreflight","staging residue authority inventories protected and siblings pass","HOLD_NO_SEAL"
"SEAL","7","SEAL-007","none","Test-RegressionPreflight","Root Fast 0/0 and MOS 16/16","HOLD_NO_SEAL"
"SEAL","8","SEAL-008","none","Lock-And-Rehash-CompleteClosure","expected B input A1 A1R and complete closure held immutable","HOLD_NO_SEAL"
"SEAL","9","SEAL-009","control-write-only","Write-LiveSealExclusive","one new live-seal-v2.json as exact twentieth file and emitted hash","HOLD_NO_SEAL"
"FWD","1","FWD-001","none","Read-SealV2A1R","expected A1 A1R and Seal hashes TTL approvals mutex routing","HOLD_NO_MUTATION"
"FWD","2","FWD-002","none","Test-ImmutableClosure","all six bundle twenty-eight execution fifteen artifact and four runtime bindings exact","HOLD_NO_MUTATION"
"FWD","3","FWD-003","none","Test-ScopePreflight","95 sources targets invariants staging authority inventory and residue pass","HOLD_NO_MUTATION"
"FWD","4","FWD-004","probe-only","Invoke-WrapperCapabilityProbe","11/11 unchanged and zero probe residue","HOLD_NO_COMPONENT_MUTATION"
"FWD","5","FWD-005","none","Test-RollbackReadiness","VerifyBundle CheckLivePreState CheckFunctionalPrestate and RestorePlan pass","HOLD_NO_MUTATION"
"FWD","6","FWD-006","none","Invoke-RootFast","0 errors and 0 warnings","HOLD_NO_MUTATION"
"FWD","7","FWD-007","none","Invoke-MosRegressionPre","16/16 cleanup true mutation none","HOLD_NO_MUTATION"
"FWD","8","FWD-008","none","Test-HardReferencesPre","41 paths and 41 positive exact workspace separate advisory","HOLD_NO_MUTATION"
"FWD","9","FWD-009","none","Test-ImmediateMutationBoundary","seal runtime B closure components snapshot wrappers references invariants authority inventory MOS Root Fast staging and residue repeated","HOLD_NO_MUTATION"
"FWD","10","FWD-010","started","Move-Components","95 sources absent and targets present at pre identities","AUTOMATIC_REVERSE"
"FWD","11","FWD-011","started","Apply-ComponentRefactors","95/95 post hashes 74 identical and 21 refactored","AUTOMATIC_REVERSE"
"FWD","12","FWD-012","started","Apply-ExactPoststate","23/23 exact poststate rows pass","AUTOMATIC_REVERSE"
"FWD","13","FWD-013","started","Apply-WrapperPoststate","11/11 wrappers pass and residue zero","AUTOMATIC_REVERSE"
"FWD","14","FWD-014","started","Test-PoststateIdentity","components poststate wrappers poststate and residue zero","AUTOMATIC_REVERSE"
"FWD","15","FWD-015","started","Test-AuthorityInventoryPost","one ContextOps authority Legacy residual target 98 MOS 16 siblings exact","AUTOMATIC_REVERSE"
"FWD","16","FWD-016","started","Test-HardReferencesPost","48 hard paths and 31 positive exact workspace excluded","AUTOMATIC_REVERSE"
"FWD","17","FWD-017","started","Invoke-MosRegressionPost","16/16 cleanup true mutation none","AUTOMATIC_REVERSE"
"FWD","18","FWD-018","started","Test-FinalPoststate","Root Fast 0/0 invariants post staging zero and residue zero","AUTOMATIC_REVERSE"
"FWD","19","FWD-019","started","Close-ForwardEvidence","hash-bound result routing frozen and no FWD-020","KEEP_ROUTING_FROZEN"
"REV","1","REV-001","recovery","Open-Reverse","expected A1 A1R and Seal retained mutex held routing frozen expiry ignored","HOLD_MANUAL_RECOVERY"
"REV","2","REV-002","recovery","Verify-SnapshotBundle","manifest archive envelope fingerprint and policies exact","HOLD_MANUAL_RECOVERY"
"REV","3","REV-003","recovery","Verify-RestorePlan","all restore actions identity-bound","HOLD_MANUAL_RECOVERY"
"REV","4","REV-004","recovery","Restore-FunctionalPrestate","126 exact restores prefixes preserved and verify-only exact","HOLD_MANUAL_RECOVERY"
"REV","5","REV-005","recovery","Remove-ApprovedComponentTargets","95 sources exact and targets absent without deleting unknown bytes","HOLD_MANUAL_RECOVERY"
"REV","6","REV-006","recovery","Remove-ApprovedCreatedPaths","only three exact create paths removed","HOLD_MANUAL_RECOVERY"
"REV","7","REV-007","recovery","Check-WrapperPrestate","11/11 wrappers prestate","HOLD_MANUAL_RECOVERY"
"REV","8","REV-008","recovery","Check-FunctionalPrestate","restore exact prefixes and verify-only pass","HOLD_MANUAL_RECOVERY"
"REV","9","REV-009","recovery","Test-AuthorityInventoryReverse","Legacy 215 target 3 MOS 16 siblings unchanged","HOLD_MANUAL_RECOVERY"
"REV","10","REV-010","recovery","Test-ReverseReferencesAndResidue","idempotent witnesses 41/41 reverse references and known residue reconciliation pass","HOLD_MANUAL_RECOVERY"
"REV","11","REV-011","recovery","Invoke-ReverseRegressions","MOS 16/16 Root Fast 0/0 invariants reverse and staging observed","HOLD_MANUAL_RECOVERY"
"REV","12","REV-012","recovery","Close-ReverseEvidence","functional prestate retained external drift classified routing frozen","KEEP_ROUTING_FROZEN"
