"sequence","step_id","phase","scope","precondition","action","success_evidence","on_failure","readiness"
"1","FWD-001","authorization","entire transaction","Exact G3E-1 bundle accepted and a separate explicit G3E2 live-cutover approval exists.","Record approval identity and transaction id; do not infer approval from candidate files.","Approval text and transaction id are retained outside append candidates.","Do not start.","awaiting-g3e1-acceptance-and-g3e2-approval"
"2","FWD-002","preflight","working tree","No unexplained change exists in any path named by the move, snapshot, wrapper, exact-poststate, MOS, or reference manifests.","Recompute all manifest pre-hashes using literal paths.","95 move, 130 snapshot, 11 wrapper, 23 exact-poststate, 16 MOS, and 41 reference rows reconcile.","HOLD before mutation.","ready-to-recheck"
"3","FWD-003","preflight","scope invariants","No path escapes the Vault; no protected raw, research, or inbox path is writable; 95 targets are absent.","Run manifest safety and collision checks.","0 unsafe paths and 0 target collisions.","HOLD before mutation.","ready-to-recheck"
"4","FWD-004","preflight","wrapper baseline","Resolved Agent Python runtime and all eleven wrapper pre-states match.","Run candidate sync tool in check/pre mode.","11/11 wrapper rows pass; no bytes written.","HOLD before mutation.","ready-to-recheck"
"5","FWD-005","preflight","rollback material","Snapshot selection, manifest, archive, and envelope remain mutually hash-bound.","Run snapshot Verify and RestorePlan.","130 rows, 129 entries, policy 126/3/1, no bytes written.","HOLD before mutation.","ready-to-recheck"
"6","FWD-006","preflight","global Vault","Root Fast has no unrelated global blocker.","Run tools/test-wiki-integrity.ps1 with Profile Fast.","0 errors / 0 warnings.","HOLD before mutation; do not waive or absorb source reconciliation into G3E.","blocked-sources.coverage-stale"
"7","FWD-007","preflight","MOS baseline","Accepted P2B2 files still match and the live suite is green.","Run accepted MOS regression suite.","16/16; cleanup true; Vault mutation none.","HOLD before mutation.","ready-to-recheck"
"8","FWD-008","preflight","protected and sibling state","Protected-source aggregate and ABM, Content OS, Company Workspaces controllers match the recorded baseline.","Recompute exact hashes.","14 protected rows and three sibling controllers unchanged.","HOLD before mutation.","ready-to-recheck"
"9","FWD-009","transaction-open","routing","FWD-001 through FWD-008 pass.","Freeze ContextOps task intake and start one transaction boundary.","No task routes to either ContextOps controller until release.","Keep freeze and execute reverse manifest if any mutation occurred.","conditional"
"10","FWD-010","physical move","95 components","Every source equals move-manifest pre_sha256 and every target is absent.","Move each literal source_path to target_path without deleting directories or touching residual files.","95 sources absent; 95 targets present with pre hashes.","Execute reverse manifest.","simulation-pass"
"11","FWD-011","component refactor","21 of 95 target components","FWD-010 passed and refactor spec, move manifest, and posthash manifest match.","Run apply-component-refactors.ps1 Apply.","95/95 component post hashes; 74 byte-identical and 21 reviewed refactors.","Execute reverse manifest.","simulation-pass"
"12","FWD-012","authority and contracts","23 exact control, MOS, and root-reference operations","All 23 pre-states and exact-poststate archive contents match.","Run apply-exact-poststate.ps1 Apply once.","23/23 post-states; Legacy residual, target sole controller, MOS still none.","Execute reverse manifest.","simulation-pass"
"13","FWD-013","discovery","ten transitioned wrappers plus framework-builder witness","FWD-011 and FWD-012 passed; target skills equal bound post hashes.","Run active manifest-scoped sync tool apply/post.","11/11 post rows; ten target wrappers and unchanged framework-builder wrapper.","Execute reverse manifest.","simulation-pass"
"14","FWD-014","postcheck","component and transaction residue","FWD-010 through FWD-013 completed.","Run component, exact-poststate, and wrapper post checks; scan for transaction temp or backup residue.","95/95, 23/23, 11/11, and zero residue.","Execute reverse manifest.","simulation-pass"
"15","FWD-015","postcheck","ownership and authority","Post hashes match target control and MOS manifests.","Verify one ContextOps current_root/controller, residual source-project-only authority, no target-local raw/research/wiki, and unchanged siblings.","Single controller true; target contains 98 files; forbidden roots 0; sibling mismatches 0.","Execute reverse manifest.","simulation-pass"
"16","FWD-016","postcheck","historical references","Reference inventory and append policies remain bound.","Verify 15 historical files exact and four historical logs/policies by preserved prefix; verify all operational targets by post hash and behavior tests.","19/19 historical references preserved and no unmanifested operational rewrite.","Execute reverse manifest.","simulation-pass"
"17","FWD-017","postcheck","MOS cutover revision","All MOS post hashes match.","Run G3E MOS regression suite.","20/20; cleanup true; Vault mutation none.","Execute reverse manifest.","simulation-pass"
"18","FWD-018","postcheck","global Vault","All earlier postchecks pass.","Run Root Fast.","0 errors / 0 warnings and no new finding relative to preflight.","Execute reverse manifest.","blocked-until-FWD-006-is-green"
"19","FWD-019","release review","transaction evidence","Every required postcheck is green and no rollback occurred.","Retain hash-bound result report for human review; do not commit.","Evidence names exact transaction and bundle fingerprints.","Keep routing frozen pending rollback or human decision.","conditional"
"20","FWD-020","transaction-close","routing","Human accepts the executed transaction evidence.","Release ContextOps routing to the sole target controller.","Target accepts work; Legacy routes shared work to target.","If not accepted, keep frozen and request rollback decision.","not-authorized-in-g3e1"
