"sequence","step_id","phase","mutation_state","executor","timeout_seconds","precondition","success_evidence","on_failure"
"1","FWD-001","authorization","none","runner:seal","0","Composite G3E2R-B seal is valid, explicitly approved, and binds this repair bundle.","Approval id, transaction id, seal hash, and routing-frozen state retained.","HOLD without mutation."
"2","FWD-002","dependency-integrity","none","runner:dependency-lock","0","All dependency-lock rows resolve inside the Vault and match exact hashes and bytes.","14/14 immutable dependencies pass.","HOLD without mutation."
"3","FWD-003","scope-preflight","none","runner:component-prestate","0","All 95 source paths match pre hashes, targets are absent, and no protected path is present.","95 exact sources, 95 absent targets, zero unsafe paths.","HOLD without mutation."
"4","FWD-004","wrapper-preflight","probe-only","wrapper:capability-probe","45","Separate live-probe approval is sealed and all eleven wrappers match prestate.","Bounded create-replace-delete probe passes in every wrapper directory with zero residue and unchanged hashes.","HOLD without component mutation."
"5","FWD-005","rollback-preflight","none","snapshot:verify-and-live-prestate","120","Late-bound snapshot selection, manifest, archive, and envelope are seal-bound.","VerifyBundle, CheckLivePreState, and RestorePlan pass independently.","HOLD without mutation."
"6","FWD-006","root-preflight","none","regression:root-fast","300","All prior preflight checks pass.","Root Fast returns 0 errors and 0 warnings.","HOLD without mutation."
"7","FWD-007","mos-preflight","none","regression:mos","180","Accepted MOS baseline and sibling authority remain unchanged.","MOS baseline passes with cleanup true and Vault mutation none.","HOLD without mutation."
"8","FWD-008","reference-preflight","none","runner:reference-prestate","120","Late-bound hard-reference manifest and Advisory classification are seal-bound.","Hard references match; volatile .obsidian/workspace.json is reported but excluded.","HOLD without mutation."
"9","FWD-009","transaction-open","none","runner:open","0","FWD-001 through FWD-008 all pass.","One transaction id is open and routing remains frozen.","HOLD without mutation."
"10","FWD-010","component-move","started","runner:move-components","180","Every component precondition still matches immediately before the first move.","95 sources absent; 95 targets present at approved pre identities.","Automatically invoke the complete reverse runner."
"11","FWD-011","component-refactor","started","dependency:G3E1-APPLY-COMPONENT","180","FWD-010 passed and locked move, refactor, and posthash inputs match.","95/95 component post hashes; 74 byte-identical and 21 refactored.","Automatically invoke the complete reverse runner."
"12","FWD-012","authority-contract-poststate","started","dependency:G3E1-APPLY-POSTSTATE","180","Refreshed exact-poststate manifest and archive are late-bound by the seal.","All exact poststate rows pass; one target controller and residual Legacy custody result.","Automatically invoke the complete reverse runner."
"13","FWD-013","wrapper-transition","started","wrapper:apply-post","90","Target canonical skills and wrapper manifest match approved post identities.","Ten wrappers transition; framework-builder remains exact; zero residue.","Automatically invoke the complete reverse runner."
"14","FWD-014","identity-postcheck","started","runner:poststate","120","All mutating steps completed.","95 component, exact-poststate, and 11 wrapper identities pass; no transaction residue.","Automatically invoke the complete reverse runner."
"15","FWD-015","authority-postcheck","started","runner:authority","120","Poststate identities pass.","Exactly one ContextOps controller; Legacy residual boundary and siblings unchanged.","Automatically invoke the complete reverse runner."
"16","FWD-016","reference-postcheck","started","runner:reference-poststate","120","Late-bound hard-reference poststate is seal-bound.","No disallowed literal Legacy token remains; historical policy passes; workspace reference remains Advisory only.","Automatically invoke the complete reverse runner."
"17","FWD-017","mos-postcheck","started","regression:mos","180","MOS post hashes match.","Approved cutover MOS suite passes with cleanup true and Vault mutation none.","Automatically invoke the complete reverse runner."
"18","FWD-018","root-postcheck","started","regression:root-fast","300","All earlier postchecks pass.","Root Fast returns 0 errors and 0 warnings.","Automatically invoke the complete reverse runner."
"19","FWD-019","evidence-close","started","runner:report","0","FWD-001 through FWD-018 pass and no reverse occurred.","Hash-bound transaction result is emitted; routing stays frozen for fresh-session discovery and separate acceptance.","Keep routing frozen; never infer FWD-020."
