"group","operation_id","repository_path","forward_mode","pre_sha256","post_sha256","post_bytes","rollback_policy","archive_entry","content_sha256","content_bytes"
"control","CTL-001","projects/No and low code_1st Marketing Agent/AGENTS.md","replace-exact","D6CB528BE478151F506C0E32E33296911A64FE0105B606C72D39DDF6E4F5115F","8E067214E35A32B517AD2E683AD978449373A538AC5AF800046668B92D9488EA","2957","restore-exact","full/projects/No and low code_1st Marketing Agent/AGENTS.md","8E067214E35A32B517AD2E683AD978449373A538AC5AF800046668B92D9488EA","2957"
"control","CTL-002","projects/No and low code_1st Marketing Agent/README.md","replace-exact","4BF3F0C4C93C5531AF2ED314EA580B7FF5D1B5A1DFB6D1CC1553E84C4D5D5B57","85FF9A2FC26FD826833259217F7E2D9881CDFD8A6959854FE541B5879DB5CBD1","1858","restore-exact","full/projects/No and low code_1st Marketing Agent/README.md","85FF9A2FC26FD826833259217F7E2D9881CDFD8A6959854FE541B5879DB5CBD1","1858"
"control","CTL-003","projects/No and low code_1st Marketing Agent/decisions/log.md","append-exact","58535A170689B7AF34E8809C59A26F55F7168BDE9FA7C18F2807972A0BEA4550","BF17B33EE704081B4D197A52B7282D54E7A6C78150A348BF9BCB23B6F662F7A7","22362","append-only-prefix","suffix/projects/No and low code_1st Marketing Agent/decisions/log.md.append","5436B52619E8273AC4414749142B2928F9DF8EBBD7BFF65FC4FBF9ACB7258F7D","841"
"control","CTL-004","projects/No and low code_1st Marketing Agent/decisions/legacy-control/AGENTS.pre-marketing-contextops-cutover.md","create-exact","ABSENT","D6CB528BE478151F506C0E32E33296911A64FE0105B606C72D39DDF6E4F5115F","13024","delete-created-on-rollback","full/projects/No and low code_1st Marketing Agent/decisions/legacy-control/AGENTS.pre-marketing-contextops-cutover.md","D6CB528BE478151F506C0E32E33296911A64FE0105B606C72D39DDF6E4F5115F","13024"
"control","CTL-005","projects/No and low code_1st Marketing Agent/decisions/legacy-control/README.pre-marketing-contextops-cutover.md","create-exact","ABSENT","4BF3F0C4C93C5531AF2ED314EA580B7FF5D1B5A1DFB6D1CC1553E84C4D5D5B57","2150","delete-created-on-rollback","full/projects/No and low code_1st Marketing Agent/decisions/legacy-control/README.pre-marketing-contextops-cutover.md","4BF3F0C4C93C5531AF2ED314EA580B7FF5D1B5A1DFB6D1CC1553E84C4D5D5B57","2150"
"control","CTL-006","projects/marketing-contextops/AGENTS.md","replace-exact","5CDE76557A418E4B55AE619C28DA580A94201FDA2B86AF330D3AB39179950342","FBB665456D6007CA309992C15D2BEE027DEE3B2AD77D32728434BBBE37D9D268","4325","restore-exact","full/projects/marketing-contextops/AGENTS.md","FBB665456D6007CA309992C15D2BEE027DEE3B2AD77D32728434BBBE37D9D268","4325"
"control","CTL-007","projects/marketing-contextops/README.md","replace-exact","0BB99811E3CCF3DF576203C9482593D876BF004E02A543037E41B37382A4DD7A","46E40D6B0E8BFE8E10303A6EB97EC36100A2EC09DA9C2E95A8E5F40B2307D4E0","3142","restore-exact","full/projects/marketing-contextops/README.md","46E40D6B0E8BFE8E10303A6EB97EC36100A2EC09DA9C2E95A8E5F40B2307D4E0","3142"
"control","CTL-008","projects/marketing-contextops/decisions/log.md","append-exact","F3D30174699C6A3DBE826BCEA673EEDF4A85700DD857373D63F48EA90BF9CF17","D9B2ED04C41AB9207FFF4490AA9FF4B23C749DAF7893373D8F604FAE4D217A76","2778","append-only-prefix","suffix/projects/marketing-contextops/decisions/log.md.append","D154EF33C9E8CE213F9DFED8692DE792A74372017D6E70258760BF399FB9985F","1069"
"control","CTL-009","tools/new-historical-recovery-manifest.ps1","replace-exact","23278B8D509C2B1E38D616432BD8B2A7E41C0B1A74549CBCE266888040668D68","0FCD0B435DBD74594147F97FA14F6B6E0451FEF027ECD2B382764B4ACB950517","10974","restore-exact","full/tools/new-historical-recovery-manifest.ps1","0FCD0B435DBD74594147F97FA14F6B6E0451FEF027ECD2B382764B4ACB950517","10974"
"control","CTL-010","wiki/index.md","replace-exact","943CC83E67FF06E45F9AA85FDD9E9856E824B269EAA386D56893F5F560B72C3A","E9B2DA9DC1602A31C4BD8467198EBBFB7293C97A163C61C939BB2B568CCC4FAF","25155","restore-exact","full/wiki/index.md","E9B2DA9DC1602A31C4BD8467198EBBFB7293C97A163C61C939BB2B568CCC4FAF","25155"
"control","CTL-011","tools/sync_agents_skills.py","create-exact","ABSENT","B5E5D44FB2C198DE586CF670EA0AF6EFB2A26D5EBA4B5F9D3C563D9E216F9C04","8941","delete-created-on-rollback","full/tools/sync_agents_skills.py","B5E5D44FB2C198DE586CF670EA0AF6EFB2A26D5EBA4B5F9D3C563D9E216F9C04","8941"
"mos","MOS-02","projects/marketing-operating-system/contracts/cross-system-handoff-envelope.md","replace-exact","EB0041B5338B76A7A698A3C5A1F3942EC88B3FC506CC7E4736D8343B99C79ED4","86E3E1A3CE3E504FFA5EC9F800F384275EC28ACF0600B2DA065F4F40D5842680","11743","restore-exact","full/projects/marketing-operating-system/contracts/cross-system-handoff-envelope.md","86E3E1A3CE3E504FFA5EC9F800F384275EC28ACF0600B2DA065F4F40D5842680","11743"
"mos","MOS-03","projects/marketing-operating-system/contracts/system-registry-and-ownership-contract.md","replace-exact","14BFD407FB7555871BB3FC73D968086339FA717B96D68C20EBA8D9E0C8D6D63D","EB7C37C1AA4308538AAEBC8395722D1884335043EEC99C4D3F9083F8CC10F5C5","13782","restore-exact","full/projects/marketing-operating-system/contracts/system-registry-and-ownership-contract.md","EB7C37C1AA4308538AAEBC8395722D1884335043EEC99C4D3F9083F8CC10F5C5","13782"
"mos","MOS-04","projects/marketing-operating-system/decisions/log.md","append-exact","5384D397599D15D1AC45D055FD7A0CEE0DE1B584099E7188182EA91F9318FE21","53C91A4B1B2FFC8301768CEF5C58FEF9A586B4AEB6310C22F655016E9779E44F","17980","append-only-prefix","suffix/projects/marketing-operating-system/decisions/log.md.append","981FB458DF355CC15784D125F55D16691601A1C8873ED4C603EDE559A3700375","1798"
"mos","MOS-05","projects/marketing-operating-system/evals/fixtures/cross-system-handoff-valid.json","replace-exact","3159A0FC29A9DCC36A30D1537F1E52BEF48F6A50ED1963D5F9875226DA28001C","2C70AE8C3FBD18A52AEC2B318F6190DE00B91EA7F5AF78F8FB6F24DAE27FA344","4915","restore-exact","full/projects/marketing-operating-system/evals/fixtures/cross-system-handoff-valid.json","2C70AE8C3FBD18A52AEC2B318F6190DE00B91EA7F5AF78F8FB6F24DAE27FA344","4915"
"mos","MOS-06","projects/marketing-operating-system/evals/fixtures/fixture-cases.json","replace-exact","43BBC0CFCD5E49A902E0F9A2EABD37979A69F95A5CE1BD78E58F86FBB406FB6A","90D1899D4E3C14A2C3BB19AACEC97C944D420673CB0CDF9BC7CDA2A9BBD6E98F","13461","restore-exact","full/projects/marketing-operating-system/evals/fixtures/fixture-cases.json","90D1899D4E3C14A2C3BB19AACEC97C944D420673CB0CDF9BC7CDA2A9BBD6E98F","13461"
"mos","MOS-10","projects/marketing-operating-system/evals/fixtures/system-registry-valid.csv","replace-exact","A9642C4809DBA7D6A090CB9AA2A514B0BBA119C4EF8009E495906A1B57BE76A0","0A36D6B255439BA9F4985453956F10782FC98B402DE1A1B21227F3B28740A0B1","3005","restore-exact","full/projects/marketing-operating-system/evals/fixtures/system-registry-valid.csv","0A36D6B255439BA9F4985453956F10782FC98B402DE1A1B21227F3B28740A0B1","3005"
"mos","MOS-11","projects/marketing-operating-system/README.md","replace-exact","0BE2CAE84D134BB0A64F8FEC0EEE1B5ED922293A547B61BD835560BC1181BE7F","BFED5A202041411D3AE136F4D7BA641691A569529D23E2C9991C9BD71F6BF910","6980","restore-exact","full/projects/marketing-operating-system/README.md","BFED5A202041411D3AE136F4D7BA641691A569529D23E2C9991C9BD71F6BF910","6980"
"mos","MOS-12","projects/marketing-operating-system/registry/systems.csv","replace-exact","A9642C4809DBA7D6A090CB9AA2A514B0BBA119C4EF8009E495906A1B57BE76A0","0A36D6B255439BA9F4985453956F10782FC98B402DE1A1B21227F3B28740A0B1","3005","restore-exact","full/projects/marketing-operating-system/registry/systems.csv","0A36D6B255439BA9F4985453956F10782FC98B402DE1A1B21227F3B28740A0B1","3005"
"mos","MOS-13","projects/marketing-operating-system/tools/config/cross-system-handoff-schema.json","replace-exact","64E27E604A917AD8EAE37606B70F51483313484464B3944EFFBDC25261667E13","5F6F25DFAC58AE7A6DE4ACE9F659930E2DF9E10AF0E41A1BE87A991E05CCC068","5672","restore-exact","full/projects/marketing-operating-system/tools/config/cross-system-handoff-schema.json","5F6F25DFAC58AE7A6DE4ACE9F659930E2DF9E10AF0E41A1BE87A991E05CCC068","5672"
"mos","MOS-14","projects/marketing-operating-system/tools/config/system-registry-schema.json","replace-exact","CA7FEAAF8C53BD6B9D352665E95CEDF3A4F084361D2EFB34FFEFC287FAFED56D","37419FB59F0721DBBA02A1EAEC634FFFEF90660C1BCD43D3DE22D3D7529F6683","4415","restore-exact","full/projects/marketing-operating-system/tools/config/system-registry-schema.json","37419FB59F0721DBBA02A1EAEC634FFFEF90660C1BCD43D3DE22D3D7529F6683","4415"
"mos","MOS-15","projects/marketing-operating-system/tools/test-federation-contracts.ps1","replace-exact","76FB60F3451A5752B45EDAB2CE03137F977B849CBEAE22FBB958FB154723963A","7F4AB12A41D195432E9F845D3A38C0B059CF4F85EA827746C481DBEF996A5197","16112","restore-exact","full/projects/marketing-operating-system/tools/test-federation-contracts.ps1","7F4AB12A41D195432E9F845D3A38C0B059CF4F85EA827746C481DBEF996A5197","16112"
"mos","MOS-16","projects/marketing-operating-system/tools/validate-federation-contracts.ps1","replace-exact","BDF73A10A04F91972675912E25D53EDEB2A73DE58751CA79857692B10C3D1992","62540C676F5BB5B7EE0C64F58D8B87AFE170D79A8C6E88A8A58E5BC77441B474","37166","restore-exact","full/projects/marketing-operating-system/tools/validate-federation-contracts.ps1","62540C676F5BB5B7EE0C64F58D8B87AFE170D79A8C6E88A8A58E5BC77441B474","37166"
